trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,key_resp_4.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,111.63375860000087,111.63375860000087,113.63475380000091,114.63428339999882,None,114.63428339999882,114.63428339999882,1,330.35039999958826,space,0.33035039999958826,114.99857650000195,115.53607320000083,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,115.53607320000083,115.53607320000083,116.53707679999934,117.5493764999992,None,117.5493764999992,117.5493764999992,1,327.64480000332696,space,0.32764480000332696,117.91496700000062,118.41585789999954,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,118.41585789999954,118.41585789999954,120.41530910000074,121.4163727999985,None,121.4163727999985,121.4163727999985,1,300.8289999997942,space,0.3008289999997942,121.7487829999991,122.25125750000007,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,122.25125750000007,122.25125750000007,123.25701399999889,124.26538000000073,None,124.26538000000073,124.26538000000073,1,300.0611999996181,space,0.3000611999996181,124.61667959999977,125.13290269999925,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,125.13290269999925,125.13290269999925,125.13290269999925,126.14724109999952,None,126.14724109999952,126.14724109999952,1,337.67030000308296,space,0.33767030000308296,126.51542150000023,127.01760619999914,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,127.01760619999914,127.01760619999914,130.01916650000203,131.03208010000162,None,131.03208010000162,131.03208010000162,1,308.9418999988993,space,0.3089418999988993,131.382196999999,131.88273209999898,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,131.88273209999898,131.88273209999898,131.88273209999898,132.89860240000053,None,132.89860240000053,132.89860240000053,1,347.1129999998084,space,0.3471129999998084,133.29698370000187,133.8150181000019,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,133.8150181000019,133.8150181000019,135.82016189999922,136.81614239999908,None,136.81614239999908,136.81614239999908,1,325.29300000169314,space,0.32529300000169314,137.18039370000042,137.6842562999991,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,137.6842562999991,137.6842562999991,139.69967170000018,140.69675619999907,None,140.69675619999907,140.69675619999907,1,309.09059999976307,space,0.30909059999976307,141.029585100001,141.5336004000019,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,141.5336004000019,141.5336004000019,144.5662384999996,145.54988510000112,None,145.54988510000112,145.54988510000112,1,303.28540000118664,space,0.30328540000118664,145.88051170000108,146.38245760000063,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,146.38245760000063,146.38245760000063,147.39932979999867,148.3957776999996,None,148.3957776999996,148.3957776999996,1,322.1843999999692,space,0.3221843999999692,148.7841597000006,149.31514660000175,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,149.31514660000175,149.31514660000175,152.3178040999992,153.31618979999985,None,153.31618979999985,153.31618979999985,1,288.58450000188896,space,0.28858450000188896,153.6461285000005,154.16225549999945,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,154.16225549999945,154.16225549999945,156.16408520000186,157.1796744000021,None,157.1796744000021,157.1796744000021,1,297.4718000041321,space,0.2974718000041321,157.51430080000137,158.03022630000123,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,158.03022630000123,158.03022630000123,159.02971930000058,160.03146639999977,None,160.03146639999977,160.03146639999977,1,325.89759999973467,space,0.32589759999973467,160.39693470000202,160.9139662000016,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,160.9139662000016,160.9139662000016,162.91628290000153,163.91512100000182,None,163.91512100000182,163.91512100000182,1,298.20029999973485,space,0.29820029999973485,164.25098179999986,164.76451760000054,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,164.76451760000054,164.76451760000054,164.76451760000054,165.7953895999999,None,165.7953895999999,165.7953895999999,1,353.46040000149515,space,0.35346040000149515,166.18069430000105,166.69700690000172,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,166.69700690000172,166.69700690000172,168.69790750000175,169.74882140000045,None,169.74882140000045,169.74882140000045,1,304.4053999983589,space,0.3044053999983589,170.09581460000118,170.59884529999908,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,170.59884529999908,170.59884529999908,171.61720369999966,172.61340510000082,None,172.61340510000082,172.61340510000082,1,303.9338000016869,space,0.3039338000016869,172.93274369999926,173.43126140000095,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,173.43126140000095,173.43126140000095,174.44953670000177,175.48172350000095,None,175.48172350000095,175.48172350000095,1,307.8384000000369,space,0.3078384000000369,175.8286212000021,176.33107219999874,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
