trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,key_resp_4.rt,text_14.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,1,1291.8425772999763,1291.8425772999763,1291.8425772999763,1292.8435404999764,None,1292.8435404999764,1292.8435404999764,1,342.33539999695495,space,0.34233539999695495,1293.2246621999657,1293.7269720999757,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,2,1293.7269720999757,1293.7269720999757,1294.7261115000001,1295.7254159000004,None,1295.7254159000004,1295.7254159000004,1,331.8491000100039,space,0.3318491000100039,1296.0901376999682,1296.592621699965,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,2,1296.592621699965,1296.592621699965,1297.5928255000035,1298.5920013999566,None,1298.5920013999566,1298.5920013999566,1,305.15359999844804,space,0.30515359999844804,1298.9243019999703,1299.4426391999586,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,1,1299.4426391999586,1299.4426391999586,1299.4426391999586,1300.4589242999791,None,1300.4589242999791,1300.4589242999791,1,334.42839997587726,space,0.33442839997587726,1300.841258200002,1301.343112099974,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,3,1301.343112099974,1301.343112099974,1303.341949899972,1304.3418823999818,None,1304.3418823999818,1304.3418823999818,1,332.38730003358796,space,0.33238730003358796,1304.7064036999946,1305.209866499994,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1305.209866499994,1305.209866499994,space,24.87981019995641,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330.1224029999576,1330.1224029999576,num_8,3.0155341000063345,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333.5380425999756,1333.5380425999756,num_9,2.0001604999997653,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1335.92191559996,1335.92191559996,num_4,3.087611700000707,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1339.3884328999557,1339.3884328999557,num_7,2.0050809999811463,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1341.805078699952,1341.805078699952,num_1,2.8289499999955297,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345.0216685999767,1345.0216685999767,num_0,1.7160097999731079,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1347.1547881999868,1347.1547881999868,num_6,3.1281665000133216,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.6714717999566,1350.6714717999566,num_7,8.034969300031662,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
