trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,MathsFailCounter,key_resp_4.keys,key_resp_4.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,122.10464800000773,122.10464800000773,124.11926750000566,125.11775160001707,None,125.11775160001707,125.11775160001707,1,275.6404999818187,space,0.2756404999818187,125.41737920002197,125.9171460000216,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,125.9171460000216,125.9171460000216,128.9305149000138,129.92928140002186,None,129.92928140002186,129.92928140002186,1,357.00530000030994,space,0.35700530000030994,130.31287029999658,130.81236250000075,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,130.81236250000075,130.81236250000075,130.81236250000075,131.81144459999632,None,131.81144459999632,131.81144459999632,1,428.02549997577444,space,0.42802549997577444,132.2608647000161,132.75997800001642,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,132.75997800001642,132.75997800001642,133.75986869999906,134.77538970002206,None,134.77538970002206,134.77538970002206,1,280.4201999970246,space,0.2804201999970246,135.07458610000322,135.5744565000059,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,135.5744565000059,135.5744565000059,136.57338210000307,137.58957250000094,None,137.58957250000094,137.58957250000094,1,258.53670001379214,space,0.25853670001379214,137.87225860002218,138.37272430001758,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.37272430001758,138.37272430001758,space,2.502685500017833,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.9026303999999,140.9026303999999,0,1,2.4860026000242215,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.79972559999442,143.79972559999442,0,0,2.2910095999832265,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.23016750000534,146.23016750000534,0,4,6.3995959000021685,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.09097600000678,153.09097600000678,0,2,3.1985920000006445,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
