trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,11.65134979999857,11.65134979999857,space,0.7954076000023633,,,,,,,,,,,,,,,,,,,,,,543813,001,2023-12-12_14h37.50.856,game,2022.2.5,60.285088180704214,
,,,,,,,,12.464484700001776,13.47980760000064,13.47980760000064,space,0.6559442000143463,,,,,,,,,,,,,,,,,543813,001,2023-12-12_14h37.50.856,game,2022.2.5,60.285088180704214,
0,0,0,0,,,,,,,,,,1,14.162042199997813,14.162042199997813,14.162042199997813,15.160773999989033,None,15.160773999989033,15.160773999989033,1,370.15010000322945,space,0.37015010000322945,15.56117770000128,16.060927500002435,,,543813,001,2023-12-12_14h37.50.856,game,2022.2.5,60.285088180704214,
1,0,1,0,,,,,,,,,,1,16.060927500002435,16.060927500002435,16.060927500002435,17.07636549999006,None,17.07636549999006,17.07636549999006,1,362.79620000277646,space,0.36279620000277646,17.459654999998747,17.959406299996772,,,543813,001,2023-12-12_14h37.50.856,game,2022.2.5,60.285088180704214,
2,0,2,0,,,,,,,,,,3,17.959406299996772,17.959406299996772,19.973813599994173,20.972604900001897,None,20.972604900001897,20.972604900001897,1,605.6375000043772,space,0.6056375000043772,21.605417899991153,22.10525670000061,,,543813,001,2023-12-12_14h37.50.856,game,2022.2.5,60.285088180704214,
3,0,3,0,,,,,,,,,,3,22.10525670000061,22.10525670000061,24.120188200002303,25.11891319999995,None,25.11891319999995,25.11891319999995,1,294.4924000184983,space,0.2944924000184983,25.435230599992792,25.93512509998982,,,543813,001,2023-12-12_14h37.50.856,game,2022.2.5,60.285088180704214,
,,,,,,,,,,,,,,,,,,,,,,,,,,,25.93512509998982,25.93512509998982,,,,,,,
