trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_5.started,FAI1,FAI2,text_4.started,InstructionsText.started,InstrucKey.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,11.871664899983443,11.871664899983443,space,3.7010617000050843,,,,,,,538570,001,2023-12-11_10h39.14.298,game,2022.2.5,60.999637675726156,
0,0,0,0,,,,,15.598649300052784,<psychopy.hardware.keyboard.KeyPress object at 0x000001E197A4A970>,,,,,538570,001,2023-12-11_10h39.14.298,game,2022.2.5,60.999637675726156,
1,0,1,0,,,,,16.93118479999248,,<psychopy.hardware.keyboard.KeyPress object at 0x000001E197A4AFA0>,,,,538570,001,2023-12-11_10h39.14.298,game,2022.2.5,60.999637675726156,
,,,,,,,,,,,17.696991899982095,18.712213900056668,18.712213900056668,,,,,,,
