trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text.started,text_5.started,text_4.started,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,21.5293864000123,21.5293864000123,space,10.797232500044629,,,,,,,,,,,,,,,,,,,,,,,606549,001,2023-12-06_16h13.40.261,game,2022.2.5,59.70373813448587,
,,,,,,,,32.347976300050505,33.36353339999914,34.36243790003937,35.36179740005173,35.36179740005173,space,18.647133799968287,,,,,,,,,,,,,,,,606549,001,2023-12-06_16h13.40.261,game,2022.2.5,59.70373813448587,
0,0,0,0,,,,,,,,,,,,1.1692388933801072,54.02771380008198,54.02771380008198,54.21119840000756,55.209829100058414,None,55.209829100058414,55.209829100058414,1,489.9835999822244,space,0.4899835999822244,55.72671740001533,56.24246300000232,,606549,001,2023-12-06_16h13.40.261,game,2022.2.5,59.70373813448587,
1,0,1,0,,,,,,,,,,,,2.8525274086698,56.24246300000232,56.24246300000232,58.10749930003658,59.10614540008828,None,59.10614540008828,59.10614540008828,1,1410.044299904257,space,1.410044299904257,60.538470400031656,61.05384170007892,,606549,001,2023-12-06_16h13.40.261,game,2022.2.5,59.70373813448587,
2,0,2,0,,,,,,,,,,,,3.5049422892383553,61.05384170007892,61.05384170007892,63.5690101000946,64.56762920005713,None,64.56762920005713,64.56762920005713,1,385.559199959971,space,0.385559199959971,64.98375780007336,65.4837282000808,,606549,001,2023-12-06_16h13.40.261,game,2022.2.5,59.70373813448587,
3,0,3,0,,,,,,,,,,,,2.497519245846032,65.4837282000808,65.4837282000808,66.98199580004439,67.98099510010798,None,67.98099510010798,67.98099510010798,1,792.6632999442518,space,0.7926632999442518,68.79701310000382,69.29702840000391,,606549,001,2023-12-06_16h13.40.261,game,2022.2.5,59.70373813448587,
4,0,4,0,,,,,,,,,,,,3.1525220079683516,69.29702840000391,69.29702840000391,71.46141530002933,72.46039690007456,None,72.46039690007456,72.46039690007456,1,322.047800058499,space,0.322047800058499,72.81026320008095,73.30939440010116,,606549,001,2023-12-06_16h13.40.261,game,2022.2.5,59.70373813448587,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.30939440010116,,,,,,,
