trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,text.started,text.stopped,text_5.started,text_5.stopped,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,12.12008749996312,12.12008749996312,space,5.9103683000430465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473848,001,2023-12-07_14h59.18.914,game,2022.2.5,60.23359793717302,
,,,,,,,,,,,,18.06194299994968,18.06194299994968,space,2.6761392999906093,,,,,,,,,,,,,,,,,,,,,,,,,,,,473848,001,2023-12-07_14h59.18.914,game,2022.2.5,60.23359793717302,
0,0,0,0,,,,,,,,,,,,,20.75909489998594,20.75909489998594,None,,,,,,,,,,,,,,,,,,,,,,,,,473848,001,2023-12-07_14h59.18.914,game,2022.2.5,60.23359793717302,
,,,,,,,,,,,,,,,,,,,23.07373910001479,24.072671100031585,24.072671100031585,25.072105100029148,25.072105100029148,26.07087109994609,26.07087109994609,26.07087109994609,space,11.483724900055677,,,,,,,,,,,,,,,473848,001,2023-12-07_14h59.18.914,game,2022.2.5,60.23359793717302,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,4,37.57692559994757,37.57692559994757,40.590369799989276,41.58971540001221,None,41.58971540001221,41.58971540001221,1,591.489200014621,space,0.591489200014621,42.20541059994139,42.70544059993699,473848,001,2023-12-07_14h59.18.914,game,2022.2.5,60.23359793717302,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,4,42.70544059993699,42.70544059993699,45.7194663999835,46.71811659995001,None,46.71811659995001,46.71811659995001,1,342.7905000280589,space,0.3427905000280589,47.08428049995564,47.58429539995268,473848,001,2023-12-07_14h59.18.914,game,2022.2.5,60.23359793717302,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,1,47.58429539995268,47.58429539995268,47.58429539995268,48.58350239996798,None,48.58350239996798,48.58350239996798,1,398.57399999164045,space,0.39857399999164045,48.99945200001821,49.49930509994738,473848,001,2023-12-07_14h59.18.914,game,2022.2.5,60.23359793717302,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,2,49.49930509994738,49.49930509994738,50.51518300001044,51.51386740000453,None,51.51386740000453,51.51386740000453,1,268.0781999370083,space,0.2680781999370083,51.8130753999576,52.31268149998505,473848,001,2023-12-07_14h59.18.914,game,2022.2.5,60.23359793717302,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,3,52.31268149998505,52.31268149998505,54.32787469995674,55.32661630003713,None,55.32661630003713,55.32661630003713,1,278.69939990341663,space,0.27869939990341663,55.62672349996865,,473848,001,2023-12-07_14h59.18.914,game,2022.2.5,60.23359793717302,
