trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_5.started,slider.started,slider.response,slider.rt,text_4.started,InstructionsText.started,InstrucKey.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,12.134448299999349,12.134448299999349,space,60.06783319998067,,,,,,,,732136,001,2023-12-11_11h38.40.784,game,2022.2.5,60.382535469444136,
0,0,0,0,,,,,72.25635839998722,72.25635839998722,5.0,4.692205599974841,,,,732136,001,2023-12-11_11h38.40.784,game,2022.2.5,60.382535469444136,
1,0,1,0,,,,,76.95165930001531,76.95165930001531,4.0,5.123983800061978,,,,732136,001,2023-12-11_11h38.40.784,game,2022.2.5,60.382535469444136,
,,,,,,,,,,,,82.08061329997145,83.09620460006408,83.09620460006408,,,,,,,
