trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,MathsFailCounter,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.396475700021256,11.396475700021256,space,748.114925700007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761185,001,2023-12-13_13h20.22.345,game,2022.2.5,60.05057458753234,
,,,,,,,,,,,,759.5281047000026,789.532738400012,789.532738400012,789.532738400012,space,9.025526899989927,,,,,,,,,,,,,,,,,,,,,,,,761185,001,2023-12-13_13h20.22.345,game,2022.2.5,60.05057458753234,
0,0,0,0,,,,,,,,,,,,,,,3,798.5740631000081,798.5740631000081,800.5895943000214,801.5883383000037,None,801.5883383000037,801.5883383000037,1,575.7482000044547,space,0.5757482000044547,802.1876172000193,802.6873455000168,,,,,,,,,,761185,001,2023-12-13_13h20.22.345,game,2022.2.5,60.05057458753234,
1,0,1,0,,,,,,,,,,,,,,,4,802.6873455000168,802.6873455000168,805.7009912000212,806.7002024000103,None,806.7002024000103,806.7002024000103,1,303.70550000225194,space,0.30370550000225194,807.0331740000111,807.5329526000132,,,,,,,,,,761185,001,2023-12-13_13h20.22.345,game,2022.2.5,60.05057458753234,
2,0,2,0,,,,,,,,,,,,,,,3,807.5329526000132,807.5329526000132,809.5471901000128,810.5466358000122,None,810.5466358000122,810.5466358000122,1,309.6254999982193,space,0.3096254999982193,810.8794333999977,811.3791590000037,,,,,,,,,,761185,001,2023-12-13_13h20.22.345,game,2022.2.5,60.05057458753234,
3,0,3,0,,,,,,,,,,,,,,,2,811.3791590000037,811.3791590000037,812.378664000018,813.3939231999975,None,813.3939231999975,813.3939231999975,1,341.2909999897238,space,0.3412909999897238,813.7600554000237,814.2595650000148,,,,,,,,,,761185,001,2023-12-13_13h20.22.345,game,2022.2.5,60.05057458753234,
4,0,4,0,,,,,,,,,,,,,,,2,814.2595650000148,814.2595650000148,815.2756535000226,816.2745127000089,None,816.2745127000089,816.2745127000089,1,277.6736000087112,space,0.2776736000087112,816.5741576,817.0736866000225,,,,,,,,,,761185,001,2023-12-13_13h20.22.345,game,2022.2.5,60.05057458753234,
5,0,5,0,,,,,,,,,,,,,,,3,817.0736866000225,817.0736866000225,819.0887183000159,820.0874579000229,None,820.0874579000229,820.0874579000229,1,275.5738999985624,space,0.2755738999985624,820.3872340000235,820.8866905000177,,,,,,,,,,761185,001,2023-12-13_13h20.22.345,game,2022.2.5,60.05057458753234,
6,0,6,0,,,,,,,,,,,,,,,1,820.8866905000177,820.8866905000177,820.8866905000177,821.885992800002,None,821.885992800002,821.885992800002,1,465.47100000316277,space,0.46547100000316277,822.3690347000083,822.8679614000139,,,,,,,,,,761185,001,2023-12-13_13h20.22.345,game,2022.2.5,60.05057458753234,
7,0,7,0,,,,,,,,,,,,,,,4,822.8679614000139,822.8679614000139,825.8819581000134,826.8811005000025,None,826.8811005000025,826.8811005000025,1,324.85299999825656,space,0.32485299999825656,827.2309496000235,827.7301205999975,,,,,,,,,,761185,001,2023-12-13_13h20.22.345,game,2022.2.5,60.05057458753234,
