trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_5.started,slider.started,slider.response,slider.rt,text_4.started,InstructionsText.started,InstrucKey.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,9.351377400103956,9.351377400103956,space,155.35801950003952,,,,,,,,216659,001,2023-12-11_11h30.40.780,game,2022.2.5,59.87554269724875,
0,0,0,0,,,,,164.7685947000282,164.7685947000282,6.0,10.622473700088449,,,,216659,001,2023-12-11_11h30.40.780,game,2022.2.5,59.87554269724875,
1,0,1,0,,,,,175.37560330005363,175.37560330005363,7,3.010199400014244,,,,216659,001,2023-12-11_11h30.40.780,game,2022.2.5,59.87554269724875,
,,,,,,,,,,,,178.40708940010518,179.4225873000687,179.4225873000687,,,,,,,
