trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,MathsFailCounter,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,14.531432599999789,14.531432599999789,space,17.34386050000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070054,001,2023-12-11_15h56.33.524,game,2022.2.5,60.09958501251744,
,,,,,,,,,,,,,,,,,,,,31.897638299999926,32.89696780000031,32.89696780000031,32.89696780000031,space,1.155590200000006,,,,,,,,,,,,,,,,,,,,,,,,070054,001,2023-12-11_15h56.33.524,game,2022.2.5,60.09958501251744,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,34.07881389999966,34.07881389999966,34.07881389999966,35.077424500000234,None,35.077424500000234,35.077424500000234,1,496.72520000058284,space,0.49672520000058284,35.59395020000011,36.093819699999585,,,,,,,,,,070054,001,2023-12-11_15h56.33.524,game,2022.2.5,60.09958501251744,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,2,36.093819699999585,36.093819699999585,37.109113100000286,38.10844840000027,None,38.10844840000027,38.10844840000027,1,332.1245999995881,space,0.3321245999995881,38.457999799999925,38.957733799999914,,,,,,,,,,070054,001,2023-12-11_15h56.33.524,game,2022.2.5,60.09958501251744,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,4,38.957733799999914,38.957733799999914,41.97152449999976,42.97029930000008,None,42.97029930000008,42.97029930000008,1,323.5488999998779,space,0.3235488999998779,43.32018049999988,43.819858300000305,,,,,,,,,,070054,001,2023-12-11_15h56.33.524,game,2022.2.5,60.09958501251744,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.819858300000305,43.819858300000305,space,4.096323900000243,,,,,,070054,001,2023-12-11_15h56.33.524,game,2022.2.5,60.09958501251744,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.93262159999995,47.93262159999995,0,3,2.3313504000007015,070054,001,2023-12-11_15h56.33.524,game,2022.2.5,60.09958501251744,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.695970200000374,50.695970200000374,,None,,070054,001,2023-12-11_15h56.33.524,game,2022.2.5,60.09958501251744,
,,,,,,,,,,,,,,,,,,,,,,97.03633600000012,97.03633600000012,space,5.995997800000623,,,,,,,,,,,,,,,,,,,,,,,,070054,001,2023-12-11_15h56.33.524,game,2022.2.5,60.09958501251744,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,1,103.06873030000042,103.06873030000042,103.06873030000042,104.07975689999967,None,104.07975689999967,104.07975689999967,1,601.8106000001353,space,0.6018106000001353,104.71219440000004,105.21193370000037,,,,,,,,,,070054,001,2023-12-11_15h56.33.524,game,2022.2.5,60.09958501251744,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,4,105.21193370000037,105.21193370000037,108.22584590000042,109.22472149999976,None,109.22472149999976,109.22472149999976,1,281.9145999992543,space,0.2819145999992543,109.5246030999997,110.0246317000001,,,,,,,,,,070054,001,2023-12-11_15h56.33.524,game,2022.2.5,60.09958501251744,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0246317000001,110.0246317000001,space,3.8253920000006474,,,,,,070054,001,2023-12-11_15h56.33.524,game,2022.2.5,60.09958501251744,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.87049339999976,113.87049339999976,0,6,3.874991300000147,070054,001,2023-12-11_15h56.33.524,game,2022.2.5,60.09958501251744,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.11602279999988,118.11602279999988,,None,,070054,001,2023-12-11_15h56.33.524,game,2022.2.5,60.09958501251744,
