trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,MathsFailCounter,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,11.02098019999994,11.02098019999994,space,0.8453503999999157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595527,001,2023-12-11_16h38.04.585,game,2022.2.5,60.03983042351024,
,,,,,,,,,,,,,,,,,,,,11.88502890000018,12.8844067,12.8844067,12.8844067,space,0.8555902999996761,,,,,,,,,,,,,,,,,,,,,,,,595527,001,2023-12-11_16h38.04.585,game,2022.2.5,60.03983042351024,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,3,13.766441300000224,13.766441300000224,15.781507700000475,16.780098900000667,None,16.780098900000667,16.780098900000667,1,354.99659999914,space,0.35499659999914,17.16332540000076,17.663271299999906,,,,,,,,,,595527,001,2023-12-11_16h38.04.585,game,2022.2.5,60.03983042351024,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.663271299999906,17.663271299999906,space,3.181405299999824,,,,,,595527,001,2023-12-11_16h38.04.585,game,2022.2.5,60.03983042351024,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.876118600000154,20.876118600000154,None,,,595527,001,2023-12-11_16h38.04.585,game,2022.2.5,60.03983042351024,
,,,,,,,,,,,,,,,,,,,,,,63.73699579999993,63.73699579999993,space,4.89758989999882,,,,,,,,,,,,,,,,,,,,,,,,595527,001,2023-12-11_16h38.04.585,game,2022.2.5,60.03983042351024,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,2,68.66485350000039,68.66485350000039,69.66405190000023,70.67972940000072,None,70.67972940000072,70.67972940000072,1,424.8520999990433,space,0.4248520999990433,71.12941850000061,71.62911520000034,,,,,,,,,,595527,001,2023-12-11_16h38.04.585,game,2022.2.5,60.03983042351024,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.62911520000034,71.62911520000034,space,4.305020099999638,,,,,,595527,001,2023-12-11_16h38.04.585,game,2022.2.5,60.03983042351024,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.95788979999998,75.95788979999998,4,0,3.0958335999994233,595527,001,2023-12-11_16h38.04.585,game,2022.2.5,60.03983042351024,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.4538620000003,79.4538620000003,None,,,595527,001,2023-12-11_16h38.04.585,game,2022.2.5,60.03983042351024,
