trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,key_resp_4.rt,text_14.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1308.6822089999914,1308.6822089999914,1310.6818271999946,1311.6820050000097,None,1311.6820050000097,1311.6820050000097,1,411.90090001327917,space,0.41190090001327917,1312.1285740999738,1312.6317767999717,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1312.6317767999717,1312.6317767999717,1313.6327551999711,1314.631966099958,None,1314.631966099958,1314.631966099958,1,373.847900016699,space,0.373847900016699,1315.045290799986,1315.5479793999693,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1315.5479793999693,1315.5479793999693,1317.5472924999776,1318.5471672999556,None,1318.5471672999556,1318.5471672999556,1,378.55870003113523,space,0.37855870003113523,1318.9619602999883,1319.4651765999733,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1319.4651765999733,1319.4651765999733,1319.4651765999733,1320.4661658999976,None,1320.4661658999976,1320.4661658999976,1,427.38399998052046,space,0.42738399998052046,1320.929604600009,1321.4323506999644,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1321.4323506999644,1321.4323506999644,1323.4481147999759,1324.430781700008,None,1324.430781700008,1324.430781700008,1,319.83620004029945,space,0.31983620004029945,1324.7950875000097,1325.3118841999676,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1325.3118841999676,1325.3118841999676,1326.315188699984,1327.317961499968,None,1327.317961499968,1327.317961499968,1,343.98700000019744,space,0.34398700000019744,1327.6820091999834,1328.1973206999828,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1328.1973206999828,1328.1973206999828,1329.1978173999814,1330.1972014000057,None,1330.1972014000057,1330.1972014000057,1,408.10520004015416,space,0.40810520004015416,1330.6455998999882,1331.1495484999614,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1331.1495484999614,1331.1495484999614,1333.1637168999878,1334.164111799968,None,1334.164111799968,1334.164111799968,1,354.54850003588945,space,0.35454850003588945,1334.5611440999783,1335.0637812999776,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1335.0637812999776,1335.0637812999776,1338.0635802999604,1339.078173399961,None,1339.078173399961,1339.078173399961,1,376.90069997916,space,0.37690069997916,1339.4942426999914,1339.9975282999803,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1339.9975282999803,1339.9975282999803,1341.9964550999575,1343.0135170999565,None,1343.0135170999565,1343.0135170999565,1,359.76630001096055,space,0.35976630001096055,1343.3986681000097,1343.9148545999778,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
