trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,MathsFailCounter,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.23144719999982,11.23144719999982,space,18.149640600022394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
,,,,,,,,,,,,29.40971239999635,59.415277799998876,59.415277799998876,59.415277799998876,space,2.0384096000052523,,,,,,,,,,,,,,,,,,,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
0,0,0,0,,,,,,,,,,,,,,,4,61.47945179999806,61.47945179999806,64.4936924999929,65.4918495999882,None,65.4918495999882,65.4918495999882,1,324.6079000236932,space,0.3246079000236932,65.84198699999251,66.34105759998783,,,,,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
1,0,1,0,,,,,,,,,,,,,,,1,66.34105759998783,66.34105759998783,66.34105759998783,67.34042669998598,None,67.34042669998598,67.34042669998598,1,475.66359999473207,space,0.47566359999473207,67.84036469997955,68.33924649999244,,,,,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
2,0,2,0,,,,,,,,,,,,,,,3,68.33924649999244,68.33924649999244,70.3544772999885,71.35321119998116,None,71.35321119998116,71.35321119998116,1,307.21790000097826,space,0.30721790000097826,71.68615629998385,72.18592519999947,,,,,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
3,0,3,0,,,,,,,,,,,,,,,2,72.18592519999947,72.18592519999947,73.20143570000073,74.20036429999163,None,74.20036429999163,74.20036429999163,1,317.9549000051338,space,0.3179549000051338,74.5334401,75.03360809999867,,,,,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
4,0,4,0,,,,,,,,,,,,,,,1,75.03360809999867,75.03360809999867,75.03360809999867,76.04890539997723,None,76.04890539997723,76.04890539997723,1,329.6251999854576,space,0.3296251999854576,76.39865170000121,76.89795959999901,,,,,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
5,0,5,0,,,,,,,,,,,,,,,2,76.89795959999901,76.89795959999901,77.8969637999835,78.91272199997911,None,78.91272199997911,78.91272199997911,1,280.88640002533793,space,0.28088640002533793,79.21247099997709,79.71188769998844,,,,,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
6,0,6,0,,,,,,,,,,,,,,,3,79.71188769998844,79.71188769998844,81.726722899999,82.72606279997854,None,82.72606279997854,82.72606279997854,1,273.50310000474565,space,0.27350310000474565,83.02571210000315,83.52492169998004,,,,,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
7,0,7,0,,,,,,,,,,,,,,,1,83.52492169998004,83.52492169998004,83.52492169998004,84.5241458999808,None,84.5241458999808,84.5241458999808,1,295.0131999969017,space,0.2950131999969017,84.84048199999961,85.34012069998425,,,,,,,,,,595762,001,2023-12-13_13h49.55.482,game,2022.2.5,59.991169292001985,
