trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,MathsFailCounter,key_resp_4.keys,key_resp_4.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,9.71823349999977,9.71823349999977,space,1.6775873000005959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471575,001,2023-12-11_16h01.17.100,game,2022.2.5,59.89695328148877,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.415079299999888,12.430496299999504,12.430496299999504,space,1.0624865999998292,,,,,,,,,,,,,,,,,,,,,,,,,471575,001,2023-12-11_16h01.17.100,game,2022.2.5,59.89695328148877,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13.51279329999943,13.51279329999943,14.51183409999976,15.527593299999353,None,15.527593299999353,15.527593299999353,1,723.869299999933,space,0.723869299999933,16.276739400000224,16.776776199999404,,,,,,,,,,,471575,001,2023-12-11_16h01.17.100,game,2022.2.5,59.89695328148877,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.776776199999404,16.776776199999404,space,4.743380300000354,,,,,,,471575,001,2023-12-11_16h01.17.100,game,2022.2.5,59.89695328148877,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.538236399999732,21.538236399999732,0,7,2.9504314999994676,,471575,001,2023-12-11_16h01.17.100,game,2022.2.5,59.89695328148877,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.951306099999783,24.951306099999783,,None,,,471575,001,2023-12-11_16h01.17.100,game,2022.2.5,59.89695328148877,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.56739449999986,115.56739449999986,space,7.182383600000321,,,,,,,,,,,,,,,,,,,,,,,,,471575,001,2023-12-11_16h01.17.100,game,2022.2.5,59.89695328148877,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,4,122.7768672000002,122.7768672000002,125.79134149999936,126.78990369999974,None,126.78990369999974,126.78990369999974,1,683.5058000006029,space,0.6835058000006029,127.48915109999962,127.98936760000015,,,,,,,,,,,471575,001,2023-12-11_16h01.17.100,game,2022.2.5,59.89695328148877,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.98936760000015,127.98936760000015,space,8.399791200000436,,,,,,,471575,001,2023-12-11_16h01.17.100,game,2022.2.5,59.89695328148877,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.4142928000001,136.4142928000001,0,2,3.8573313000006237,,471575,001,2023-12-11_16h01.17.100,game,2022.2.5,59.89695328148877,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.69321669999954,140.69321669999954,,None,,,471575,001,2023-12-11_16h01.17.100,game,2022.2.5,59.89695328148877,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.45580509999945,163.45580509999945,space,8.780138699999952,,,,,,,,,,,,,,,,,,,,,,,,,471575,001,2023-12-11_16h01.17.100,game,2022.2.5,59.89695328148877,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,2,172.26425269999982,172.26425269999982,173.27973329999986,174.2789432999998,None,174.2789432999998,174.2789432999998,1,590.1457999998456,space,0.5901457999998456,174.89514599999984,175.3950202999995,,,,,,,,,,,471575,001,2023-12-11_16h01.17.100,game,2022.2.5,59.89695328148877,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.3950202999995,175.3950202999995,space,2.826806299999589,,,,,,,471575,001,2023-12-11_16h01.17.100,game,2022.2.5,59.89695328148877,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.24191770000016,178.24191770000016,0,3,2.364762700000938,,471575,001,2023-12-11_16h01.17.100,game,2022.2.5,59.89695328148877,
,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.00532399999975,181.00532399999975,,None,,,471575,001,2023-12-11_16h01.17.100,game,2022.2.5,59.89695328148877,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.25368139999955,,,,,,,
