trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp_4.started,text_7.started,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,9.48271980008576,9.48271980008576,space,3.83505029999651,,,,,695421,001,2023-12-07_14h23.19.101,game,2022.2.5,59.97242466465495,
0,0,0,0,,,,,13.342519100056961,13.342519100056961,6,6.355307099991478,695421,001,2023-12-07_14h23.19.101,game,2022.2.5,59.97242466465495,
,,,,,,,,20.102288500056602,20.102288500056602,,,,,,,,,
