trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,feedback_text.started,response.rt,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,sound_1.stopped,fixation.stopped,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,2,2,10,0,,,,,184.90494450000006,185.8861178000002,185.8866229600001,188.3861296,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,2,3,11,3,,,,,188.4052575999999,189.38628960000005,189.38705486000006,191.8861698999999,t,1,,0.6596979999999348,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,3,0,12,0,,,,,191.9015585000002,192.88755100000026,192.88530126000003,,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,3,1,13,0,,,,,195.40146240000013,196.38588040000013,196.38492135999994,198.88740050000024,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,3,2,14,1,,,,,198.90198659999987,199.88722850000022,199.8848944600002,,None,1,,,,,,,200.88535520000005,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,3,3,15,3,,,,,202.4010976999998,203.38573279999991,203.38537526000007,,t,1,,0.6061064000000442,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,4,0,16,2,,,,,205.90078200000016,206.88509810000005,206.88422756000026,209.38541600000008,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,4,1,17,2,,,,,209.4016204999998,210.3850136000001,210.38409086000027,212.88488460000008,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,4,2,18,1,,,,,212.90341630000012,213.88381740000023,213.88453705999999,216.38404330000003,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,4,3,19,1,,,,,216.40150360000007,217.3840140000002,217.38452376000012,219.88334630000008,None,1,,,,,,,,,,,,,,elpida1310,001,2023-10-13_13h37.24.132,Oddball_task,2022.2.5,59.86611541946819,
