trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,feedback_text.started,response.rt,response.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,sound_1.stopped,fixation.stopped,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,22,3,91,2,,,,,760.680099899997,761.6612411999959,761.6630040499964,None,1,,,764.1806856000039,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,23,0,92,1,,,,,764.1920840999956,765.1774795000092,765.1760857499991,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,23,1,93,2,,,,,767.691169800004,768.6722133000003,768.6711376499967,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,23,2,94,3,,,,,771.1854989999993,772.1684572000086,772.1698734500038,t,1,,0.7957299000117928,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,23,3,95,1,,,,,774.6849006999983,775.6665338000021,775.6647583500104,None,1,,,778.1648371000047,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,24,0,96,3,,,,,778.1791045999998,779.1625504999975,779.1635671500059,t,1,,0.90591059999133,781.6773894000071,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,24,1,97,2,,,,,781.6968682000006,782.6775174000068,782.6748680499965,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,24,2,98,2,,,,,785.1936728000001,786.1760036000051,786.1732017499977,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,24,3,99,3,,,,,788.688605000003,789.6705966000009,789.6693561500084,t,1,,0.8705026999959955,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,25,0,100,3,,,,,792.1843563000002,793.1658687000017,793.1660991500045,t,1,,0.91922519999207,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,25,1,101,1,,,,,795.6809824000084,796.6637180999969,796.6624014500063,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,25,2,102,3,,,,,799.1781488999986,800.1764048000041,800.177292550006,t,1,,1.2130489999981364,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,25,3,103,2,,,,,802.6899236000027,803.674159000002,803.672297849998,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,26,0,104,0,,,,,806.1862354000041,807.1704190000019,807.169916050008,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,26,1,105,0,,,,,809.6832681000087,810.6673033999978,810.6656810500077,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,26,2,106,0,,,,,813.1819002999982,814.1653710999963,814.1653937500029,None,1,,,816.6769402000064,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,26,3,107,0,,,,,816.6950694999978,817.6754912000033,817.679283250001,None,1,,,820.1755516999983,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,27,0,108,2,,,,,820.1916578000091,821.1727735000022,821.1738901500008,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,27,1,109,1,,,,,823.6894443000056,824.6702268000081,824.6714039500017,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,27,2,110,3,,,,,827.1862700000056,828.1662083999981,828.1679575499962,t,1,,0.8396573000063654,830.6632994999964,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,27,3,111,2,,,,,830.681797199999,831.6626641000039,831.6646228499973,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,28,0,112,0,,,,,834.1776753000013,835.1610529000027,835.161235650006,None,1,,,837.6751403000089,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,28,1,113,2,,,,,837.6901404999953,838.6745749999973,838.673136949999,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,28,2,114,3,,,,,841.1870881000068,842.1710764000018,842.1696991500008,t,1,,0.881202000004123,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,28,3,115,0,,,,,844.6903257000085,845.6664542000071,845.6688310499973,None,1,,,848.1650670999952,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,29,0,116,2,,,,,848.1805171000015,849.163398100005,849.1645273499977,None,1,,,851.6628187000024,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,29,1,117,3,,,,,851.6803826999967,852.679553000009,852.6779406500078,t,1,,0.7974284999945667,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,29,2,118,3,,,,,855.1924976000009,856.1753516000026,856.17288995001,t,1,,0.8767460999952164,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,29,3,119,0,,,,,858.688737000004,859.6730696000013,859.6705184499966,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,30,0,120,3,,,,,862.1858480000083,863.1669356000057,863.1663373499993,t,1,,0.7978735000069719,865.664311200002,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,30,1,121,2,,,,,865.6832995000004,866.6634383000055,866.6645206500049,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,30,2,122,2,,,,,869.1786758999951,870.1781754999975,870.1790549500089,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,30,3,123,1,,,,,872.6933233000018,873.6756079000043,873.6742922500067,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,31,0,124,0,,,,,876.1894734999951,877.1720889999997,877.1703791499982,None,1,,,,,,,,878.1710569999996,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,31,1,125,3,,,,,879.6862300000066,880.6683235000091,880.6667927500035,t,1,,0.8559346999973059,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,31,2,126,1,,,,,883.1811987999972,884.1673633000028,884.1638419500028,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,31,3,127,1,,,,,886.6789217000041,887.6619347000087,887.6605477500067,None,1,,,890.1748943999992,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,32,0,128,3,,,,,890.1932854000042,891.1735776999994,891.1749583500001,t,1,,0.8331208000017796,893.6727176999993,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,32,1,129,2,,,,,893.6910249000066,894.6704986999976,894.6721993500047,None,1,,,897.1686450999987,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,32,2,130,0,,,,,897.1869003000029,898.1671654999955,898.1685205500049,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,32,3,131,3,,,,,900.6815390999982,901.6660961000016,901.6641930499987,t,1,,1.034355299998424,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,33,0,132,2,,,,,904.1798435000092,905.160798500001,905.1620901500079,None,1,,,907.6582469999994,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,33,1,133,2,,,,,907.6932437000069,908.6748683000042,908.674842550006,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,33,2,134,3,,,,,911.1884490000084,912.1726422000065,912.1706275499979,t,1,,0.9455632000026526,914.6682256000058,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,33,3,135,1,,,,,914.6890279000072,915.6688273000036,915.6692579500028,None,1,,,918.1659623000014,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,34,0,136,3,,,,,918.1847928000061,919.1658883000055,919.1648767500097,t,1,,0.9192746000044281,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,34,1,137,3,,,,,921.6803445999976,922.6624273000052,922.6612509500061,t,1,,1.0302512999915052,925.1758420999977,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,34,2,138,1,,,,,925.1936216000031,926.1741160000092,926.1772567500099,None,1,,,928.6740745999996,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,34,3,139,1,,,,,928.6897346000042,929.6713784000021,929.6725691499975,None,1,,,932.1684141000005,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,35,0,140,1,,,,,932.1896502000018,933.1704952,933.1694508500019,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,35,1,141,3,,,,,935.6830027999968,936.6654042000009,936.6642571500066,t,1,,1.0909726999962004,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,35,2,142,0,,,,,939.180085400003,940.1617506000039,940.1628052500106,None,1,,,942.677081700007,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,35,3,143,3,,,,,942.6932090000046,943.675276599999,943.6761472500017,t,1,,0.8902792000008048,946.1724394000048,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,36,0,144,1,,,,,946.1907274999976,947.1712031000061,947.1733957500052,None,1,,,949.6691601000057,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,36,1,145,2,,,,,949.6873323000036,950.6678704000078,950.6696754500095,None,1,,,953.1679108999961,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,36,2,146,0,,,,,953.1825850000023,954.1648243999953,954.1669442500075,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,36,3,147,3,,,,,956.6792346000002,957.6630772000062,957.6637996500009,t,1,,0.8770456000056583,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,37,0,148,2,,,,,960.1758445000014,961.175690700009,961.1771576499974,None,1,,,963.6740798999963,,,,,,963.6740798999963,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,37,1,149,2,,,,,963.6740798999963,964.6733898000093,964.6722641500033,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,37,2,150,2,,,,,967.1856752000022,968.1695066999964,968.169837550007,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,37,3,151,3,,,,,970.6837515000079,971.666075000001,971.66713055,t,1,,0.8911791999998968,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,38,0,152,1,,,,,974.1812575000076,975.1638117999973,975.1618385499984,None,1,,,977.6754683000036,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,38,1,153,1,,,,,977.694975499995,978.6583408000006,978.6610803500022,None,1,,,981.1743973999983,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,38,2,154,0,,,,,981.191986699996,982.1729007999966,982.1738462500012,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,38,3,155,1,,,,,984.6880213999975,985.6705365000089,985.6691212500097,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,39,0,156,0,,,,,988.1833612000046,989.166884899998,989.1676152500091,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,39,1,157,2,,,,,991.6797200000001,992.6623314000026,992.6632061500073,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,39,2,158,3,,,,,995.1764816000068,996.1589144000027,996.1606314500037,t,1,,0.8372380000073463,998.6737848000048,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,39,3,159,0,,,,,998.6922767000069,999.6726634000079,999.6736523500091,None,1,,,,,,,,1000.6716274000064,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,40,0,160,0,,,,,1002.1884266999987,1003.170624499995,1003.1693796499982,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,40,1,161,0,,,,,1005.6833931000001,1006.6671598999965,1006.6657672500093,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,40,2,162,2,,,,,1009.1828085000016,1010.1630302999984,1010.1641326500045,None,1,,,1012.6785038000089,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,40,3,163,3,,,,,1012.6936965000059,1013.6609983000089,1013.6615862499981,t,1,,1.096756800005096,1016.1748823000089,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,41,0,164,1,,,,,1016.1916731000092,1017.1736437000072,1017.1744449500053,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,41,1,165,2,,,,,1019.6874400000088,1020.6713578000054,1020.6702502500062,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,41,2,166,0,,,,,1023.1855284000048,1024.1676024000044,1024.1666032500011,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,41,3,167,3,,,,,1026.6827679999988,1027.6651020999998,1027.6624464499996,t,1,,0.9388507999974536,1030.1793089999992,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,42,0,168,3,,,,,1030.1967189999996,1031.1596537000005,1031.1614854500017,t,1,,1.223270999995293,1033.6592008000007,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,42,1,169,0,,,,,1033.6905104000034,1034.6746966000064,1034.6731312499992,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,42,2,170,1,,,,,1037.1886362000077,1038.1702652999957,1038.1713665500079,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,42,3,171,2,,,,,1040.6837712999986,1041.6703457999974,1041.6660814500005,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,43,0,172,1,,,,,1044.1824095000047,1045.163356200006,1045.1646619500038,None,1,,,1047.6621205999982,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,43,1,173,1,,,,,1047.6772148000018,1048.6612640999956,1048.661507050006,None,1,,,1051.1763696999988,,,,,,1051.1763696999988,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,43,2,174,2,,,,,1051.1763696999988,1052.1754243000032,1052.1751437500002,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,43,3,175,3,,,,,1054.6871868000017,1055.6692664000002,1055.66990735,t,1,,1.0253303999925265,1058.168849499998,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,44,0,176,2,,,,,1058.1841186000092,1059.1692395999999,1059.1699851500102,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,44,1,177,3,,,,,1061.681173600009,1062.664472999997,1062.6633541499991,t,1,,1.318084300000919,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,44,2,178,0,,,,,1065.1793022000056,1066.1766346000077,1066.180284149997,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,44,3,179,0,,,,,1068.6743483000027,1069.6749612999993,1069.6745016500004,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,45,0,180,1,,,,,1072.1880957999965,1073.1752522000024,1073.174393050003,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,45,1,181,0,,,,,1075.686196900002,1076.667204199999,1076.6685898500086,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,45,2,182,0,,,,,1079.1832847000042,1080.1647950000042,1080.167185849999,None,1,,,1082.662248499997,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,45,3,183,1,,,,,1082.6782590000075,1083.6608560000022,1083.6613139500055,None,1,,,1086.1748579999985,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,46,0,184,2,,,,,1086.1930442000012,1087.1737258000067,1087.1760175500035,None,1,,,,,,,,,,,,,Levi,001,2023-10-17_15h56.51.997,Oddball_task,2022.2.5,60.05825650843395,
