trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,feedback_text.started,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,response.rt,sound_1.stopped,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,3,2,14,0,,,,,82.53663650000817,83.52042859999347,83.51988745001145,85.5207333000144,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,3,3,15,3,,,,,85.53746389999287,86.52226620001602,86.52072664999869,,t,1,,,,,,0.9321123999834526,87.52160579999327,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,4,0,16,1,,,,,88.53776530001778,89.50416979999864,89.50461425001268,91.50353069999255,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,4,1,17,3,,,,,91.53688560001319,92.52002180001,92.51993484999403,94.51993320000474,t,1,,,,,,1.1663647000095807,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,4,2,18,0,,,,,94.53669410001021,95.52066070001456,95.52003494999954,97.5201953999931,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,4,3,19,1,,,,,97.53680729999905,98.52020960001391,98.52014844999067,100.52007759999833,t,0,,,,,,1.4070910000009462,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,5,0,20,0,,,,,100.53693900001235,101.52038689999608,101.51985995000578,103.52018270001281,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,5,1,21,1,,,,,103.53666199999861,104.51992520000204,104.52010935001309,106.52014229999622,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,5,2,22,2,,,,,106.5368790999928,107.52044650001335,107.51988385001314,109.52016800001729,None,1,,,,,,,108.52014720000443,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,5,3,23,2,,,,,109.53674529999262,110.52049640001496,110.51991435001256,112.519910300005,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,6,0,24,0,,,,,112.5365438000008,113.51996330000111,113.51989304999589,115.51987879999797,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,6,1,25,1,,,,,115.53681459999643,116.52098870000918,116.51984225001652,118.52036890000454,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,6,2,26,0,,,,,118.53650039999047,119.5201420999947,119.51991254999885,121.52009780000662,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,6,3,27,0,,,,,121.53712459999952,122.5201452000183,122.51991765000858,124.52015050000045,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,7,0,28,3,,,,,124.5367130000086,125.52007080000476,125.51983725000755,127.52028190001147,t,1,,,,,,0.926554000005126,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,7,1,29,1,,,,,127.53657610001392,128.5201240000024,128.52019585000235,130.51987970000482,None,1,,,,,,,129.5201919999963,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,7,2,30,1,,,,,130.53651550001814,131.5202063000179,131.52000925000758,133.52009720000206,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,7,3,31,0,,,,,133.53677629999584,134.52020769999945,134.52019804999,136.52009959999123,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,8,0,32,3,,,,,136.53698609999265,137.52107620000606,137.51990275001154,,t,1,,,,,,0.9568385999882594,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,8,1,33,3,,,,,139.53693970001768,140.52026970000588,140.51984145001043,142.52014070001314,t,1,,,,,,1.005870099994354,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,8,2,34,0,,,,,142.53684020001674,143.5205028000055,143.51998765001773,145.52067940001143,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,8,3,35,1,,,,,145.5380325000151,146.5041351999971,146.50434585000622,148.5046157000179,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,9,0,36,2,,,,,148.5376966999902,149.52141099999426,149.52026414999855,,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,9,1,37,1,,,,,151.53698669999721,152.52040559999296,152.5198601500073,154.51990340001066,None,1,,,,,,,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,9,2,38,3,,,,,154.53661529999226,155.52016690000892,155.52006884999574,157.5201839999936,t,1,,,,,,0.7898559999885038,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,9,3,39,3,,,,,157.53659540001536,158.52062890000525,158.52002925001435,160.52007930001128,t,1,,,,,,1.318161900009727,,,,,,,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.53670560001046,163.5201750000124,163.53686120000202,e,0.3182368999987375,testnone,001,2023-09-26_11h33.17.008,Oddball_task,2022.2.5,59.705306542125264,
