trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,feedback_text.started,response.rt,sound_1.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,fixation.stopped,thank_you.started,thank_you.stopped,exit_exp.started,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,2,1,9,0,,,,,300.7273043,301.7116464999999,301.7105975400001,,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,2,2,10,1,,,,,304.2271786000001,305.2114981999998,305.2107771399998,,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,2,3,11,1,,,,,307.72663379999995,308.71160759999975,308.7102146399999,,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,3,0,12,1,,,,,311.2263683000001,312.2098940000001,312.20986203999985,314.7102964999999,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,3,1,13,0,,,,,314.7264117999998,315.7102639999998,315.70954644000005,318.2101628999999,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,3,2,14,0,,,,,318.2263312,319.21038339999996,319.2097872400001,321.7107390000001,None,1,,,320.21093759999985,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,3,3,15,2,,,,,321.7266133999997,322.7111682,322.70981903999984,,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,4,0,16,0,,,,,325.2265714,326.21001769999975,326.2095349399998,,None,1,,,327.2096413999998,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,4,1,17,0,,,,,328.7257156999999,329.70918389999997,329.70884234000016,332.20951909999985,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,4,2,18,2,,,,,332.2257153999999,333.2089911999997,333.20859373999986,335.70907940000006,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,4,3,19,2,,,,,335.72554979999995,336.7087434,336.70881273999987,339.2095839999997,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,5,0,20,0,,,,,339.2257317999997,340.2089643999998,340.20832473999974,342.70827169999984,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,5,1,21,3,,,,,342.724608,343.7086922999997,343.7084211399998,346.2082737999999,t,1,,0.8088596000002326,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,5,2,22,3,,,,,346.22464549999995,347.20753079999986,347.20730344000015,349.7079794000001,t,1,,0.9175605000004907,348.2085199999997,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,5,3,23,1,,,,,349.72394459999987,350.70722669999986,350.70684914000014,353.2083600000001,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,6,0,24,0,,,,,353.22352679999995,354.20802909999975,354.20691434,356.70750150000003,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,6,1,25,3,,,,,356.7236935000001,357.7071406,357.70668553999997,360.2080606999998,t,1,,0.7578383000000031,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,6,2,26,3,,,,,360.22392850000006,361.2083497999997,361.2070327399998,,t,1,,0.9928191000003608,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,6,3,27,2,,,,,363.72367209999993,364.7072266,364.7069285399999,,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,7,0,28,3,,,,,367.22272269999985,368.2073448000001,368.2067221399999,,t,1,,0.9118703000003734,369.2068359,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,7,1,29,0,,,,,370.72264479999967,371.7067311999999,371.7053869399998,,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,7,2,30,3,,,,,374.2226931,375.20725719999973,375.20604744000013,,t,1,,0.6962010000006558,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,7,3,31,0,,,,,377.7218141999997,378.7058164,378.70496904000004,381.20667879999974,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,8,0,32,3,,,,,381.2228455999998,382.2065693999998,382.2065097400001,384.70600149999973,t,1,,0.8094915000001492,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,8,1,33,3,,,,,384.7223006999998,385.7057646999997,385.70478663999995,388.2059466999999,t,1,,0.8815447000001768,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,8,2,34,2,,,,,388.22179289999985,389.2060154999999,389.20572404000006,,None,1,,,390.20618149999973,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,8,3,35,1,,,,,391.72211819999984,392.7049606999999,392.70433934000005,395.2044443,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,9,0,36,3,,,,,395.2210777,396.2050214000001,396.20417243999975,398.70433839999987,t,1,,0.7812239000004411,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,9,1,37,3,,,,,398.7204896999997,399.70420209999975,399.7037263399999,402.20471169999973,t,1,,0.8503818000003776,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,9,2,38,0,,,,,402.2208078999997,403.20401730000003,403.20399483999984,405.70462869999983,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,9,3,39,1,,,,,405.72034829999984,406.7044060999997,406.70386513999995,409.20482089999996,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,10,0,40,1,,,,,409.2200032999999,410.2036438,410.2031200399998,412.7040987999999,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,10,1,41,3,,,,,412.7199181000001,413.70382960000006,413.70343763999983,416.20357250000006,t,1,,0.7094395000003715,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,10,2,42,2,,,,,416.2195544000001,417.20311790000005,417.2026393399998,419.7030686999997,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,10,3,43,2,,,,,419.71918830000004,420.70287259999986,420.70292963999975,423.2027576999999,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,11,0,44,0,,,,,423.21929009999985,424.20337659999996,424.20267024,426.7035476000001,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,11,1,45,3,,,,,426.7192424,427.70226079999975,427.70211273999996,430.2023979999999,t,1,,0.8850093000005472,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,,,,,11,2,46,1,,,,,430.2185307,431.20215989999997,431.20200664000015,433.70323370000006,None,1,,,,,,,,,,,,,,elpida1310,002,2023-10-13_14h04.45.653,Oddball_task,2022.2.5,59.705663022410945,
