trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,response.rt,feedback_text.started,response.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,sound_1.stopped,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,3,2,14,1,,,,,132.56635780003853,133.5473725000047,133.54866956669528,s,1,0.7097088000155054,,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,3,3,15,0,,,,,136.5621553999954,137.5444514999981,137.54759746668086,s,1,0.8430131999775767,,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,4,0,16,2,,,,,140.5575974000385,141.54276219999883,141.5461893666691,s,1,0.8517088000080548,,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,4,1,17,3,,,,,144.55558850005036,145.55671860004077,145.54928156669874,t,1,0.753715300001204,,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,4,2,18,3,,,,,148.58369080000557,149.5494972000015,149.5509902666711,t,1,0.8560030999942683,,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,4,3,19,0,,,,,152.56655129999854,153.5468080000137,153.54792686668614,s,1,0.8048774999915622,,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,5,0,20,1,,,,,156.55956210003933,157.54583380004624,157.54222426668665,s,1,0.8711284000310116,,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,5,1,21,3,,,,,160.5594020000426,161.54109210002935,161.53796066670137,t,1,0.6775196000235155,,164.55335260002175,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,5,2,22,0,,,,,164.56773100001737,165.55162149999524,165.55274386669433,s,1,0.6526711999904364,,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,5,3,23,3,,,,,168.56686479999917,169.54941300000064,169.54895006667746,t,1,0.8395480000181124,,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,6,0,24,3,,,,,172.56166050001048,173.54340620001312,173.5467994667163,t,1,1.0163717999821529,,176.54090170003474,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,6,1,25,1,,,,,176.55727570003364,177.5400928000454,177.54001836671185,s,1,0.9587755000102334,,180.55476120003732,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,6,2,26,1,,,,,180.56891610001912,181.55410810001194,181.55378076667355,s,1,0.9278139999951236,,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,6,3,27,3,,,,,184.57079960004194,185.55124420003267,185.5493895667062,t,1,0.6893046000041068,,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,7,0,28,2,,,,,188.56365360005293,189.54848600004334,189.54662346671492,s,1,0.7872128000017256,,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,7,1,29,2,,,,,192.55946090002544,193.54257230000803,193.54515286669292,s,1,1.2094727999647148,,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,7,2,30,2,,,,,196.5563219000469,197.5388809000142,197.5413493667186,s,1,0.7926349999615923,,200.5528035000316,,,,,198.53738009999506,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,7,3,31,2,,,,,200.5726152000134,201.55094670003746,201.55104816670453,s,1,0.7631105000036769,,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,0,32,2,,,,,204.56478580000112,205.54918420000467,205.54950686666805,s,1,0.8658462999737822,,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,8,1,33,3,,,,,208.56051189999562,209.5440911000478,209.54748126666917,t,1,0.8049843999906443,,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,2,34,2,,,,,212.55985510000028,213.541130800033,213.54051546671352,s,1,0.6161445999750867,,216.5538979000412,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,8,3,35,2,,,,,216.5730219000252,217.5535874000052,217.55460666667594,s,1,0.8096152999787591,,220.5514858000097,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,0,36,1,,,,,220.56880870001623,221.55245670001023,221.55027686671045,s,1,0.8538144000340253,,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,1,37,1,,,,,224.56379500002367,225.546050200006,225.54419216671184,s,1,0.7817564000142738,,,,,,,226.543332500034,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,2,38,0,,,,,228.55915360001381,229.54224320000503,229.54225706670357,s,1,0.7536435999791138,,,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,9,3,39,1,,,,,232.55657970003085,233.53735990001587,233.5386552666935,s,1,0.7380192000418901,,236.53451970004244,,,,,,,,,kiu,001,2023-09-22_16h33.01.109,Oddball_task,2022.2.5,58.8852550061272,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.58265640004538,239.5491184000275,239.58244410000043,,,,,,,
