trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,CloseEyes.started,ModulatedTone.started,OpenEyes.started,CloseEyes.stopped,ModulatedTone.stopped,OpenEyes.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,15.510680999956094,15.510680999956094,space,63.993087799986824,,,,,,,,,,781542,001,2023-11-10_14h06.30.041,ASSR3,2022.2.5,61.15886260193004,
0,0,0,0,,,,,79.52578859997448,84.60413839993998,114.52585734998574,114.52521120000165,114.60898320004344,,,,,781542,001,2023-11-10_14h06.30.041,ASSR3,2022.2.5,61.15886260193004,
1,0,1,0,,,,,,144.63194089999888,174.51974565001439,174.51944309996907,174.6361828999361,204.62409279996064,204.62409279996064,,,781542,001,2023-11-10_14h06.30.041,ASSR3,2022.2.5,61.15886260193004,
2,0,2,0,,,,,,204.62409279996064,234.51308285003762,234.51457210001536,234.63066379993688,264.601750300033,264.601750300033,,,781542,001,2023-11-10_14h06.30.041,ASSR3,2022.2.5,61.15886260193004,
3,0,3,0,,,,,,264.601750300033,294.5239408499445,294.5290226000361,294.60854379995726,,,,,781542,001,2023-11-10_14h06.30.041,ASSR3,2022.2.5,61.15886260193004,
4,0,4,0,,,,,,324.6281497000018,354.51844174998115,354.51768000004813,354.6340445999522,384.6220910999691,384.6220910999691,,,781542,001,2023-11-10_14h06.30.041,ASSR3,2022.2.5,61.15886260193004,
5,0,5,0,,,,,,384.6220910999691,414.5119084499427,414.51274759997614,414.6281452999683,444.600989199942,444.600989199942,,,781542,001,2023-11-10_14h06.30.041,ASSR3,2022.2.5,61.15886260193004,
6,0,6,0,,,,,,444.600989199942,474.52292545001256,474.5244886999717,474.60632939997595,,,,,781542,001,2023-11-10_14h06.30.041,ASSR3,2022.2.5,61.15886260193004,
7,0,7,0,,,,,,504.62712249998003,534.516017150029,534.5165361999534,534.6343263000017,564.6204046000494,564.6204046000494,,,781542,001,2023-11-10_14h06.30.041,ASSR3,2022.2.5,61.15886260193004,
8,0,8,0,,,,,,564.6204046000494,594.5100642499863,594.5107079000445,594.6276253999677,624.6493161999388,624.6493161999388,,,781542,001,2023-11-10_14h06.30.041,ASSR3,2022.2.5,61.15886260193004,
9,0,9,0,,,,,,624.6493161999388,654.512600549974,654.5044710999355,654.6546277999878,684.543393000029,684.5101044999901,,,781542,001,2023-11-10_14h06.30.041,ASSR3,2022.2.5,61.15886260193004,
,,,,,,,,,,,,,,,684.543393000029,684.543393000029,,,,,,,
