trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,ModulatedTone.stopped,key_resp_3.started,text_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,21.028585099964403,21.028585099964403,space,12.742668099934235,,,,,,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,0,0,0,0,,,,,33.89034799998626,33.89034799998626,36.289228200016076,36.40594660001807,,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,1,0,1,0,,,,,46.39658800000325,46.39658800000325,48.79519689994631,48.91143839992583,,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,2,0,2,0,,,,,58.901147400029004,58.901147400029004,61.283597399981225,61.41692959994543,71.30483709997497,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,3,0,3,0,,,,,71.40431979997084,71.40431979997084,73.7935982999974,73.90488349995576,83.80975729995407,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,4,0,4,0,,,,,83.9258880999405,83.9258880999405,86.2934564999654,86.42619309993461,,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,5,0,5,0,,,,,96.3971668999875,96.3971668999875,98.78230999995722,98.89909109997097,108.8024010999361,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,6,0,6,0,,,,,108.90248859999701,108.90248859999701,111.28520149997203,111.4032642999664,121.32584589999169,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,7,0,7,0,,,,,121.42408899997827,121.42408899997827,123.79120449993061,123.92556539992802,,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,8,0,8,0,,,,,133.89660269999877,133.89660269999877,136.28017389999005,136.39881169993896,146.30160639993846,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,9,0,9,0,,,,,146.3891781999264,146.3891781999264,148.78530389993685,148.89932580001187,158.8066021000268,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,10,0,10,0,,,,,158.8938623999711,158.8938623999711,161.28879749999615,161.40605270001106,171.31345739995595,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,11,0,11,0,,,,,171.41545149998274,171.41545149998274,173.79846450003097,173.92608430003747,,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,12,0,12,0,,,,,183.9014082000358,183.9014082000358,186.28171149994014,186.41515339992475,196.30854729993735,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,13,0,13,0,,,,,196.4068103999598,196.4068103999598,198.78784569996643,198.9215828999877,208.81280850002076,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,14,0,14,0,,,,,208.90974699996877,208.90974699996877,211.29238489995478,211.4243839000119,,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,15,0,15,0,,,,,221.39759649999905,221.39759649999905,223.78059270003578,223.89916729996912,233.80447129998356,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,16,0,16,0,,,,,233.90279770002235,233.90279770002235,236.28610489998246,236.402722000028,246.30810619995464,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,17,0,17,0,,,,,246.40792609995697,246.40792609995697,248.7912152000121,248.9057965000393,,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,18,0,18,0,,,,,258.9003647000063,258.9003647000063,261.28167570001676,261.41284090001136,271.30156839999836,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,19,0,19,0,,,,,271.40141579997726,271.40141579997726,273.7835908999317,273.9199990000343,283.80635590001475,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,20,0,20,0,,,,,283.889622699935,283.889622699935,286.29240099996093,286.3875328999711,,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,21,0,21,0,,,,,296.39767310000025,296.39767310000025,298.794879999978,298.9126692999853,,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,22,0,22,0,,,,,308.89954679994844,308.89954679994844,311.283262599993,311.3995833999943,321.3063756999327,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,23,0,23,0,,,,,321.40767779992893,321.40767779992893,323.7881481999415,323.9191587000387,333.80989649996627,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
0,0,0,0,24,0,24,0,,,,,333.89570959995035,333.89570959995035,336.29362909999907,336.40923170000315,,,,Levi,001,2023-10-05_17h02.24.430,ASSR2,2022.2.5,60.68443550044976,
,,,,,,,,,,,,,,,,,346.31653680000454,346.31653680000454,,,,,,,
