trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,CloseEyes.started,ModulatedTone.started,OpenEyes.started,CloseEyes.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,14.14208689998486,14.14208689998486,space,53.30518799999845,,,,,,744604,001,2023-11-06_14h41.49.592,ASSR3,2022.2.5,60.54745800512858,
0,0,0,0,,,,,67.46980449999683,72.5639961999841,102.46942922998569,102.47065969998948,102.5691666000057,744604,001,2023-11-06_14h41.49.592,ASSR3,2022.2.5,60.54745800512858,
,,,,,,,,,132.5778033999959,,,,,,,,,,
