trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,CloseEyes.started,ModulatedTone.started,OpenEyes.started,CloseEyes.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,18.41696560001583,18.41696560001583,space,27.432276499981526,,,,,,450938,001,2023-11-06_15h29.43.002,ASSR3,2022.2.5,59.780581350220785,
0,0,0,0,,,,,45.87061960002757,50.950285600003554,80.8739160600031,80.87103810001281,80.95521730001201,450938,001,2023-11-06_15h29.43.002,ASSR3,2022.2.5,59.780581350220785,
,,,,,,,,,110.97666990000289,,,,,,,,,,
