trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,CloseEyes.started,ModulatedTone.started,OpenEyes.started,CloseEyes.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,17.86968119998346,17.86968119998346,space,20.20040569998673,,,,,,616124,001,2023-11-06_15h37.24.255,ASSR3,2022.2.5,60.27527719951923,
0,0,0,0,,,,,38.094748100003926,43.19033889999264,73.09464898000587,73.09570789997815,73.19572409999091,616124,001,2023-11-06_15h37.24.255,ASSR3,2022.2.5,60.27527719951923,
,,,,,,,,,103.20041130000027,,,,,,,,,,
