trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,ModulatedTone.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.275362299988046,11.275362299988046,space,1.5077658002264798,,,,,,946612,001,2023-10-10_13h35.28.318,ASSR3,2022.2.5,60.00978157107316,
0,0,0,0,0,0,0,0,,,,,12.869433199986815,12.869433199986815,13.302179389935919,13.37037630006671,15.31651969999075,946612,001,2023-10-10_13h35.28.318,ASSR3,2022.2.5,60.00978157107316,
0,0,0,0,1,0,1,0,,,,,15.367103999946266,15.367103999946266,15.800434189918452,15.86713710008189,,946612,001,2023-10-10_13h35.28.318,ASSR3,2022.2.5,60.00978157107316,
0,0,0,0,2,0,2,0,,,,,17.881386100081727,17.881386100081727,18.297606990044006,18.38210990000516,,946612,001,2023-10-10_13h35.28.318,ASSR3,2022.2.5,60.00978157107316,
0,0,0,0,3,0,3,0,,,,,20.395649699959904,20.395649699959904,20.79545808986295,20.89573449990712,,946612,001,2023-10-10_13h35.28.318,ASSR3,2022.2.5,60.00978157107316,
0,0,0,0,4,0,4,0,,,,,22.876640900038183,22.876640900038183,23.293584789917805,23.379395900061354,,946612,001,2023-10-10_13h35.28.318,ASSR3,2022.2.5,60.00978157107316,
0,0,0,0,5,0,5,0,,,,,25.374618799891323,25.374618799891323,25.79104518990498,25.874572299886495,27.822217399952933,946612,001,2023-10-10_13h35.28.318,ASSR3,2022.2.5,60.00978157107316,
0,0,0,0,6,0,6,0,,,,,27.888870999915525,27.888870999915525,28.289023289992475,28.389241100056097,,946612,001,2023-10-10_13h35.28.318,ASSR3,2022.2.5,60.00978157107316,
0,0,0,0,7,0,7,0,,,,,30.387927599949762,30.387927599949762,30.803283090074547,30.903536000056192,,946612,001,2023-10-10_13h35.28.318,ASSR3,2022.2.5,60.00978157107316,
0,0,0,0,8,0,8,0,,,,,32.867391400039196,32.867391400039196,33.30132138992194,33.36727249994874,,946612,001,2023-10-10_13h35.28.318,ASSR3,2022.2.5,60.00978157107316,
0,0,0,0,9,0,9,0,,,,,35.381470599910244,35.381470599910244,35.798756989953105,35.881826099939644,,946612,001,2023-10-10_13h35.28.318,ASSR3,2022.2.5,60.00978157107316,
0,0,0,0,10,0,10,0,,,,,37.879556299885735,37.879556299885735,38.29598939006682,38.382414599880576,,946612,001,2023-10-10_13h35.28.318,ASSR3,2022.2.5,60.00978157107316,
0,0,0,0,11,0,11,0,,,,,40.377175899920985,40.377175899920985,40.79426968989428,40.87745729996823,,946612,001,2023-10-10_13h35.28.318,ASSR3,2022.2.5,60.00978157107316,
0,0,0,0,12,0,12,0,,,,,42.87460949993692,42.87460949993692,43.292297789896836,43.37466329988092,45.322084499988705,946612,001,2023-10-10_13h35.28.318,ASSR3,2022.2.5,60.00978157107316,
0,0,0,0,13,0,13,0,,,,,45.372475099982694,45.372475099982694,45.788902389886786,45.87230459996499,47.819473200012,946612,001,2023-10-10_13h35.28.318,ASSR3,2022.2.5,60.00978157107316,
0,0,0,0,14,0,14,0,,,,,47.88781229988672,47.88781229988672,48.30334649009164,48.403989899903536,,946612,001,2023-10-10_13h35.28.318,ASSR3,2022.2.5,60.00978157107316,
0,0,0,0,15,0,15,0,,,,,50.38437430001795,50.38437430001795,50.801259589917024,50.8845518999733,,946612,001,2023-10-10_13h35.28.318,ASSR3,2022.2.5,60.00978157107316,
0,0,0,0,16,0,16,0,,,,,52.89850190002471,52.89850190002471,53.29882719002198,53.398846299853176,,946612,001,2023-10-10_13h35.28.318,ASSR3,2022.2.5,60.00978157107316,
,,,,,,,,,,,,55.39616889995523,55.39616889995523,55.79646908987779,55.89655329985544,,,,,,,,
