trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,CloseEyes.started,ModulatedTone.started,OpenEyes.started,CloseEyes.stopped,ModulatedTone.stopped,OpenEyes.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,16.36097089998657,16.36097089998657,space,118.28492329997243,,,,,,,,,,633300,001,2023-11-06_16h52.10.997,ASSR3,2022.2.5,60.806759778834405,
0,0,0,0,,,,,134.6775449999841,139.7715782999876,169.6790525666477,169.67931789997965,169.77791599999182,,,,,633300,001,2023-11-06_16h52.10.997,ASSR3,2022.2.5,60.806759778834405,
1,0,1,0,,,,,,199.78544720000355,229.6747245666377,229.67116189998342,229.79034529998899,259.7789938999922,259.7789938999922,,,633300,001,2023-11-06_16h52.10.997,ASSR3,2022.2.5,60.806759778834405,
2,0,2,0,,,,,,259.7789938999922,289.66749346664096,289.66758860001573,289.78357089997735,319.77202939998824,319.77202939998824,,,633300,001,2023-11-06_16h52.10.997,ASSR3,2022.2.5,60.806759778834405,
3,0,3,0,,,,,,319.77202939998824,349.67833826668016,349.6787989999866,349.78134330001194,,,,,633300,001,2023-11-06_16h52.10.997,ASSR3,2022.2.5,60.806759778834405,
4,0,4,0,,,,,,379.7807449999964,409.6744870666337,409.6734399999841,409.78988409996964,439.779902499984,439.779902499984,,,633300,001,2023-11-06_16h52.10.997,ASSR3,2022.2.5,60.806759778834405,
5,0,5,0,,,,,,439.779902499984,469.6678878666755,469.66891939996276,469.7840069999802,499.791445299983,499.791445299983,,,633300,001,2023-11-06_16h52.10.997,ASSR3,2022.2.5,60.806759778834405,
6,0,6,0,,,,,,499.791445299983,529.6808958666554,529.6777307000011,529.7947292999597,,,,,633300,001,2023-11-06_16h52.10.997,ASSR3,2022.2.5,60.806759778834405,
7,0,7,0,,,,,,559.7836632999824,589.6716322666655,589.6716825999902,589.788918700011,619.7769871999626,619.7769871999626,,,633300,001,2023-11-06_16h52.10.997,ASSR3,2022.2.5,60.806759778834405,
8,0,8,0,,,,,,619.7769871999626,649.6667717666753,649.6659569999902,649.7824530999642,679.7712426999933,679.7712426999933,,,633300,001,2023-11-06_16h52.10.997,ASSR3,2022.2.5,60.806759778834405,
9,0,9,0,,,,,,679.7712426999933,709.6764923666526,709.6757323999773,709.7774066000129,739.6977869999828,739.6977869999828,,,633300,001,2023-11-06_16h52.10.997,ASSR3,2022.2.5,60.806759778834405,
,,,,,,,,,,,,,,,739.6977869999828,739.6977869999828,,,,,,,
