trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,Cross.started,Rest.started,ModulatedTone.started,Rest.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.183900300005917,20.183900300005917,space,746.6680835000006,,,,,,,,787181,001,2023-11-01_10h37.36.298,ASSR3,2022.2.5,None,
0,0,0,0,0,0,0,0,,,,,766.8804458000086,771.9549528000061,771.9549528000061,781.8808958999987,781.9625186000048,,,787181,001,2023-11-01_10h37.36.298,ASSR3,2022.2.5,None,
0,0,0,0,1,0,1,0,,,,,,841.9729940999969,841.9729940999969,851.8652331000019,851.9822510000085,,,787181,001,2023-11-01_10h37.36.298,ASSR3,2022.2.5,None,
0,0,0,0,2,0,2,0,,,,,,911.9741189000051,911.9741189000051,921.8647690000041,921.9832336999971,,,787181,001,2023-11-01_10h37.36.298,ASSR3,2022.2.5,None,
0,0,0,0,3,0,3,0,,,,,,981.975056700001,981.975056700001,991.8673061999987,991.9840238000033,,,787181,001,2023-11-01_10h37.36.298,ASSR3,2022.2.5,None,
0,0,0,0,4,0,4,0,,,,,,1051.9765935000032,1051.9765935000032,1061.8677721999964,1061.9848560999963,,,787181,001,2023-11-01_10h37.36.298,ASSR3,2022.2.5,None,
0,0,0,0,,,,,,,,,,,,,,,,787181,001,2023-11-01_10h37.36.298,ASSR3,2022.2.5,None,
1,0,1,0,0,0,0,0,,,,,1121.894977799995,1126.956915200004,1126.956915200004,1136.8647172000026,1136.965149800002,,,787181,001,2023-11-01_10h37.36.298,ASSR3,2022.2.5,None,
1,0,1,0,1,0,1,0,,,,,,1196.975085500002,1196.975085500002,1206.8665684999985,1206.982128100004,,,787181,001,2023-11-01_10h37.36.298,ASSR3,2022.2.5,None,
1,0,1,0,2,0,2,0,,,,,,1266.9762080000073,1266.9762080000073,1276.8683435999963,1276.9840665000083,,,787181,001,2023-11-01_10h37.36.298,ASSR3,2022.2.5,None,
1,0,1,0,3,0,3,0,,,,,,1336.9769754000008,1336.9769754000008,1346.8686777000082,1346.985401900005,,,787181,001,2023-11-01_10h37.36.298,ASSR3,2022.2.5,None,
1,0,1,0,4,0,4,0,,,,,,1406.961854100009,1406.961854100009,1416.8698822999984,1416.969765700007,,,787181,001,2023-11-01_10h37.36.298,ASSR3,2022.2.5,None,
1,0,1,0,,,,,,,,,,,,,,,,787181,001,2023-11-01_10h37.36.298,ASSR3,2022.2.5,None,
2,0,2,0,0,0,0,0,,,,,1476.8985335000034,1481.9593471999979,1481.9593471999979,1491.8667790000006,1491.969562600003,,,787181,001,2023-11-01_10h37.36.298,ASSR3,2022.2.5,None,
2,0,2,0,1,0,1,0,,,,,,1551.977071500005,1551.977071500005,1561.8678036000026,1561.988810499999,,,787181,001,2023-11-01_10h37.36.298,ASSR3,2022.2.5,None,
2,0,2,0,2,0,2,0,,,,,,1621.9613841999962,1621.9613841999962,1631.8698865000013,1631.9701998000091,,,787181,001,2023-11-01_10h37.36.298,ASSR3,2022.2.5,None,
2,0,2,0,3,0,3,0,,,,,,1691.9622579999996,1691.9622579999996,1701.8706245000037,1701.9708446000004,,,787181,001,2023-11-01_10h37.36.298,ASSR3,2022.2.5,None,
2,0,2,0,4,0,4,0,,,,,,1761.9639592000021,1761.9639592000021,1771.8721870999987,1771.9720310999983,,,787181,001,2023-11-01_10h37.36.298,ASSR3,2022.2.5,None,
2,0,2,0,,,,,,,,,,,,,,,,787181,001,2023-11-01_10h37.36.298,ASSR3,2022.2.5,None,
,,,,,,,,,,,,,,,,,1831.9010721000086,1831.9010721000086,,,,,,,
