trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,Cross.started,Rest.started,ModulatedTone.started,Rest.stopped,ModulatedTone.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,104.19997749989852,104.19997749989852,space,81.75799479999114,,,,,,,,,715868,001,2023-10-26_16h32.15.098,ASSR3,2022.2.5,61.39116051908379,
0,0,0,0,0,0,0,0,,,,,185.98363569995854,191.06160959997214,191.06160959997214,200.96962008997798,201.06968979991507,,,,715868,001,2023-10-26_16h32.15.098,ASSR3,2022.2.5,61.39116051908379,
0,0,0,0,1,0,1,0,,,,,,261.07945289998315,261.07945289998315,270.9709444899345,271.0876178999897,,,,715868,001,2023-10-26_16h32.15.098,ASSR3,2022.2.5,61.39116051908379,
0,0,0,0,2,0,2,0,,,,,,331.06416429998353,331.06416429998353,340.97238028992433,341.0721959999064,,,,715868,001,2023-10-26_16h32.15.098,ASSR3,2022.2.5,61.39116051908379,
0,0,0,0,3,0,3,0,,,,,,401.5220195999136,401.5220195999136,410.9735782899661,411.5230680999812,,,,715868,001,2023-10-26_16h32.15.098,ASSR3,2022.2.5,61.39116051908379,
0,0,0,0,4,0,4,0,,,,,,471.0667820998933,471.0667820998933,480.9748607899528,481.07522239990067,,,,715868,001,2023-10-26_16h32.15.098,ASSR3,2022.2.5,61.39116051908379,
0,0,0,0,,,,,,,,,,,,,,,,,715868,001,2023-10-26_16h32.15.098,ASSR3,2022.2.5,61.39116051908379,
1,0,1,0,0,0,0,0,,,,,540.9856034999248,546.0471259999322,546.0471259999322,555.971781889908,556.0548161999322,,,,715868,001,2023-10-26_16h32.15.098,ASSR3,2022.2.5,61.39116051908379,
1,0,1,0,1,0,1,0,,,,,,616.4843454998918,616.4843454998918,625.9728816899005,626.4891075999476,,,,715868,001,2023-10-26_16h32.15.098,ASSR3,2022.2.5,61.39116051908379,
1,0,1,0,2,0,2,0,,,,,,686.0660144999856,686.0660144999856,695.9740894899005,696.0739992999006,755.9848752999678,,,715868,001,2023-10-26_16h32.15.098,ASSR3,2022.2.5,61.39116051908379,
1,0,1,0,3,0,3,0,,,,,,756.0507347999373,756.0507347999373,765.9754328900017,766.0586786000058,,,,715868,001,2023-10-26_16h32.15.098,ASSR3,2022.2.5,61.39116051908379,
1,0,1,0,4,0,4,0,,,,,,826.0688344999216,826.0688344999216,835.9769025899004,836.0766946999356,,,,715868,001,2023-10-26_16h32.15.098,ASSR3,2022.2.5,61.39116051908379,
1,0,1,0,,,,,,,,,,,,,,,,,715868,001,2023-10-26_16h32.15.098,ASSR3,2022.2.5,61.39116051908379,
,,,,,,,,,,,,,,,,,,895.9875360999722,895.9875360999722,,,,,,,
