trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,CloseEyes.started,ModulatedTone.started,OpenEyes.started,CloseEyes.stopped,ModulatedTone.stopped,OpenEyes.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,36.97455460007768,36.97455460007768,space,261.05652950005606,,,,,,,,,,172924,001,2023-11-10_15h04.37.305,ASSR3,2022.2.5,60.40120899389851,
0,0,0,0,,,,,298.0598281000275,303.1206456000218,333.04375895009144,333.04392000008374,333.12661770009436,363.1140056999866,363.1140056999866,,,172924,001,2023-11-10_15h04.37.305,ASSR3,2022.2.5,60.40120899389851,
1,0,1,0,,,,,,363.1140056999866,393.05347905006494,393.0549952000147,393.1208762000315,423.1426256999839,423.1426256999839,,,172924,001,2023-11-10_15h04.37.305,ASSR3,2022.2.5,60.40120899389851,
2,0,2,0,,,,,,423.1426256999839,453.0480779500329,453.0471596000716,453.1474319000263,483.13498770003207,483.13498770003207,,,172924,001,2023-11-10_15h04.37.305,ASSR3,2022.2.5,60.40120899389851,
3,0,3,0,,,,,,483.13498770003207,513.0432295500184,513.0416855000658,513.1411970000481,543.1132456000196,543.1132456000196,,,172924,001,2023-11-10_15h04.37.305,ASSR3,2022.2.5,60.40120899389851,
4,0,4,0,,,,,,543.1132456000196,573.0521973500843,573.0526974999812,573.1192734000506,603.1227079000091,603.1227079000091,,,172924,001,2023-11-10_15h04.37.305,ASSR3,2022.2.5,60.40120899389851,
5,0,5,0,,,,,,603.1227079000091,633.0458239499828,633.0473991000326,633.1295132000232,663.1187672000378,663.1187672000378,,,172924,001,2023-11-10_15h04.37.305,ASSR3,2022.2.5,60.40120899389851,
6,0,6,0,,,,,,663.1187672000378,693.0577426500502,693.0578275000444,693.1234633000568,,,,,172924,001,2023-11-10_15h04.37.305,ASSR3,2022.2.5,60.40120899389851,
7,0,7,0,,,,,,723.1445277000312,753.050980450015,753.0507835000753,753.1507007000037,783.1392803000053,783.1392803000053,,,172924,001,2023-11-10_15h04.37.305,ASSR3,2022.2.5,60.40120899389851,
8,0,8,0,,,,,,783.1392803000053,813.0458659500698,813.0450454000384,813.1439610000234,843.1329682000214,843.1329682000214,,,172924,001,2023-11-10_15h04.37.305,ASSR3,2022.2.5,60.40120899389851,
9,0,9,0,,,,,,843.1329682000214,873.0551475500804,873.0554510999937,873.1391748000169,,,,,172924,001,2023-11-10_15h04.37.305,ASSR3,2022.2.5,60.40120899389851,
,,,,,,,,,,,,,,,903.0767592000775,903.0767592000775,,,,,,,
