trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,ModulatedTone.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,10.045239999890327,10.045239999890327,space,31.36497039999813,,,,,,436351,001,2023-10-10_13h24.03.922,ASSR3,2022.2.5,60.66911971701413,
0,0,0,0,0,0,0,0,,,,,41.479062899947166,41.479062899947166,41.9289226599969,41.97892610006966,43.94280959991738,436351,001,2023-10-10_13h24.03.922,ASSR3,2022.2.5,60.66911971701413,
0,0,0,0,1,0,1,0,,,,,44.010549899889156,44.010549899889156,44.42658086009324,44.510054799960926,,436351,001,2023-10-10_13h24.03.922,ASSR3,2022.2.5,60.66911971701413,
0,0,0,0,2,0,2,0,,,,,46.50762819987722,46.50762819987722,46.925838359911,47.007803899934515,,436351,001,2023-10-10_13h24.03.922,ASSR3,2022.2.5,60.66911971701413,
0,0,0,0,3,0,3,0,,,,,49.00555250002071,49.00555250002071,49.42338525997475,49.50876610004343,,436351,001,2023-10-10_13h24.03.922,ASSR3,2022.2.5,60.66911971701413,
0,0,0,0,4,0,4,0,,,,,51.50296099996194,51.50296099996194,51.91950735989958,52.002636099932715,,436351,001,2023-10-10_13h24.03.922,ASSR3,2022.2.5,60.66911971701413,
0,0,0,0,5,0,5,0,,,,,54.00103530008346,54.00103530008346,54.41847255993635,54.501169099938124,56.44825410004705,436351,001,2023-10-10_13h24.03.922,ASSR3,2022.2.5,60.66911971701413,
0,0,0,0,6,0,6,0,,,,,56.49864439992234,56.49864439992234,56.91506676007994,56.998155700042844,58.94584330008365,436351,001,2023-10-10_13h24.03.922,ASSR3,2022.2.5,60.66911971701413,
0,0,0,0,7,0,7,0,,,,,59.01272840006277,59.01272840006277,59.430144959874454,59.51342840003781,,436351,001,2023-10-10_13h24.03.922,ASSR3,2022.2.5,60.66911971701413,
0,0,0,0,8,0,8,0,,,,,61.49341790005565,61.49341790005565,61.92727326001041,61.994406200014055,,436351,001,2023-10-10_13h24.03.922,ASSR3,2022.2.5,60.66911971701413,
0,0,0,0,9,0,9,0,,,,,64.00754319992848,64.00754319992848,64.42640296001919,64.50996210006997,,436351,001,2023-10-10_13h24.03.922,ASSR3,2022.2.5,60.66911971701413,
0,0,0,0,10,0,10,0,,,,,66.50582770002075,66.50582770002075,66.92242525988259,67.00690330006182,,436351,001,2023-10-10_13h24.03.922,ASSR3,2022.2.5,60.66911971701413,
0,0,0,0,11,0,11,0,,,,,68.98691019997932,68.98691019997932,69.41999886003323,69.48732409998775,,436351,001,2023-10-10_13h24.03.922,ASSR3,2022.2.5,60.66911971701413,
0,0,0,0,12,0,12,0,,,,,71.48472449998371,71.48472449998371,71.91759305987507,71.9843802000396,73.94846099987626,436351,001,2023-10-10_13h24.03.922,ASSR3,2022.2.5,60.66911971701413,
,,,,,,,,,,,,73.99876670003869,73.99876670003869,74.41523226005957,74.49874689988792,,,,,,,,
