trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,CloseEyes.started,ModulatedTone.started,OpenEyes.started,CloseEyes.stopped,ModulatedTone.stopped,OpenEyes.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,14.66058530000737,14.66058530000737,space,103.35394729999825,,,,,,,,,,800592,001,2023-11-07_15h34.50.278,ASSR3,2022.2.5,60.133267339778435,
0,0,0,0,,,,,118.04304800002137,123.11879050004063,153.0267742900236,153.02492950001033,153.12515380000696,183.12885959999403,183.12885959999403,,,800592,001,2023-11-07_15h34.50.278,ASSR3,2022.2.5,60.133267339778435,
1,0,1,0,,,,,,183.12885959999403,213.03657959000557,213.0359810999944,213.13594529998954,243.13937390001956,243.13937390001956,,,800592,001,2023-11-07_15h34.50.278,ASSR3,2022.2.5,60.133267339778435,
2,0,2,0,,,,,,243.13937390001956,273.02957929002,273.02965510002105,273.1471410000231,303.1160407999996,303.1160407999996,,,800592,001,2023-11-07_15h34.50.278,ASSR3,2022.2.5,60.133267339778435,
3,0,3,0,,,,,,303.1160407999996,333.0396737899922,333.04001759999665,333.1239882000373,,,,,800592,001,2023-11-07_15h34.50.278,ASSR3,2022.2.5,60.133267339778435,
4,0,4,0,,,,,,363.12646629998926,393.035137890029,393.03363429999445,393.13424780004425,423.138596600038,423.138596600038,,,800592,001,2023-11-07_15h34.50.278,ASSR3,2022.2.5,60.133267339778435,
5,0,5,0,,,,,,423.138596600038,453.0286135900009,453.02825979999034,453.14483460003976,483.11703580000903,483.11703580000903,,,800592,001,2023-11-07_15h34.50.278,ASSR3,2022.2.5,60.133267339778435,
6,0,6,0,,,,,,483.11703580000903,513.0383650900388,513.0387978000217,513.1219393000356,,,,,800592,001,2023-11-07_15h34.50.278,ASSR3,2022.2.5,60.133267339778435,
7,0,7,0,,,,,,543.1430113000097,573.0324090900307,573.033366299991,573.1489949999959,603.1367294000229,603.1367294000229,,,800592,001,2023-11-07_15h34.50.278,ASSR3,2022.2.5,60.133267339778435,
8,0,8,0,,,,,,603.1367294000229,633.026658890018,633.0271412000293,633.144116200041,663.1313081000117,663.1313081000117,,,800592,001,2023-11-07_15h34.50.278,ASSR3,2022.2.5,60.133267339778435,
9,0,9,0,,,,,,663.1313081000117,693.0369314900075,693.0378636000096,693.1364542000229,,,,,800592,001,2023-11-07_15h34.50.278,ASSR3,2022.2.5,60.133267339778435,
10,0,10,0,,,,,,723.1247205000254,753.0313582900038,753.0321403000271,753.1318430000101,783.1191475000232,783.1191475000232,,,800592,001,2023-11-07_15h34.50.278,ASSR3,2022.2.5,60.133267339778435,
11,0,11,0,,,,,,783.1191475000232,813.0253534900315,813.0253054000204,813.124469500035,843.1286776000052,843.1286776000052,,,800592,001,2023-11-07_15h34.50.278,ASSR3,2022.2.5,60.133267339778435,
12,0,12,0,,,,,,843.1286776000052,873.0357833899965,873.0362790999934,873.1372910999926,903.1393382000388,903.1393382000388,,,800592,001,2023-11-07_15h34.50.278,ASSR3,2022.2.5,60.133267339778435,
13,0,13,0,,,,,,903.1393382000388,933.0297075900074,933.033289300045,933.1463436000049,963.1160290000262,963.1160290000262,,,800592,001,2023-11-07_15h34.50.278,ASSR3,2022.2.5,60.133267339778435,
14,0,14,0,,,,,,963.1160290000262,993.0397542900231,993.0404906999902,993.1234987000353,,,,,800592,001,2023-11-07_15h34.50.278,ASSR3,2022.2.5,60.133267339778435,
,,,,,,,,,,,,,,,1023.0619998000329,1023.0619998000329,,,,,,,
