trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,Rest.started,ModulatedTone.started,Cross.started,Rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.09483000000182,19.09483000000182,space,409.5104218000015,,,,,,,708395,001,2023-11-07_15h22.12.936,ASSR3,2022.2.5,60.24335907267639,
,,,,,,,,,,,,428.63773460000084,433.720058400002,433.720058400002,463.6361895600006,463.6687918000025,463.72137790000124,,,,,,,
