trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,CloseEyes.started,ModulatedTone.started,OpenEyes.started,CloseEyes.stopped,ModulatedTone.stopped,OpenEyes.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,12.062971899999866,12.062971899999866,space,24.105299799999557,,,,,,,,,,376679,001,2023-11-16_14h34.59.531,ASSR3,2022.2.5,60.196722890374424,
0,0,0,0,,,,,36.18757300000016,41.24697180000021,71.1872282100001,71.18721379999988,71.25285190000022,,,,,376679,001,2023-11-16_14h34.59.531,ASSR3,2022.2.5,60.196722890374424,
1,0,1,0,,,,,,101.25841270000001,131.18040671,131.18061880000005,131.2648196,161.25275370000008,161.25275370000008,,,376679,001,2023-11-16_14h34.59.531,ASSR3,2022.2.5,60.196722890374424,
2,0,2,0,,,,,,161.25275370000008,191.17455210999998,191.17534010000008,191.25758940000014,221.2629047999999,221.2629047999999,,,376679,001,2023-11-16_14h34.59.531,ASSR3,2022.2.5,60.196722890374424,
3,0,3,0,,,,,,221.2629047999999,251.1852468099999,251.18463340000017,251.26846320000004,,,,,376679,001,2023-11-16_14h34.59.531,ASSR3,2022.2.5,60.196722890374424,
4,0,4,0,,,,,,281.25653999999986,311.17908070999994,311.1796804999999,311.26178329999993,341.23386919999984,341.23386919999984,,,376679,001,2023-11-16_14h34.59.531,ASSR3,2022.2.5,60.196722890374424,
5,0,5,0,,,,,,341.23386919999984,371.1723575099998,371.17272600000024,371.2396147999998,401.2448629999999,401.2448629999999,,,376679,001,2023-11-16_14h34.59.531,ASSR3,2022.2.5,60.196722890374424,
6,0,6,0,,,,,,401.2448629999999,431.18318131000007,431.18362019999995,431.25069470000017,,,,,376679,001,2023-11-16_14h34.59.531,ASSR3,2022.2.5,60.196722890374424,
7,0,7,0,,,,,,461.25507819999984,491.1774910100001,491.17731619999995,491.26033659999985,521.2656372000001,521.2656372000001,,,376679,001,2023-11-16_14h34.59.531,ASSR3,2022.2.5,60.196722890374424,
8,0,8,0,,,,,,521.2656372000001,551.1713945099998,551.1711298,551.2706100999999,581.2430278999996,581.2430278999996,,,376679,001,2023-11-16_14h34.59.531,ASSR3,2022.2.5,60.196722890374424,
9,0,9,0,,,,,,581.2430278999996,611.1824145100002,611.1821544999998,611.2483097999998,641.2041777,641.2041777,,,376679,001,2023-11-16_14h34.59.531,ASSR3,2022.2.5,60.196722890374424,
,,,,,,,,,,,,,,,641.2041777,641.2041777,,,,,,,
