trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,text_2.started,ModulatedTone.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
2,0,2,0,6,0,6,0,,,,,299.59150539999973,299.59150539999973,301.5422967666666,301.5933989999994,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
2,0,2,0,7,0,7,0,,,,,306.5707720999999,306.5707720999999,308.5524995666667,308.58456579999984,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
2,0,2,0,8,0,8,0,,,,,313.5822589999998,313.5822589999998,315.54600286666596,315.5940379999993,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
2,0,2,0,9,0,9,0,,,,,320.5891894999995,320.5891894999995,322.55420116666596,322.58711629999925,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
2,0,2,0,,,,,,,,,,,,,327.58176789999925,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
3,0,3,0,0,0,0,0,,,,,332.5768976999998,332.5768976999998,334.54290056666673,334.5763471,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
3,0,3,0,1,0,1,0,,,,,339.58690149999984,339.58690149999984,341.55262546666677,341.6024245999997,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
3,0,3,0,2,0,2,0,,,,,346.58124249999946,346.58124249999946,348.54701366666654,348.5962931999993,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
3,0,3,0,3,0,3,0,,,,,353.5946697999998,353.5946697999998,355.56085946666667,355.6075216999998,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
3,0,3,0,4,0,4,0,,,,,360.5853516999996,360.5853516999996,362.5499556666666,362.585384,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
3,0,3,0,5,0,5,0,,,,,367.5797470999996,367.5797470999996,369.5457950666662,369.59385139999995,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
