trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,text_2.started,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.717610499996226,16.717610499996226,space,10.454812699987087,,,,,,,,593816,001,2023-10-19_11h25.23.800,ASSR3,2022.2.5,60.057390835718174,
0,0,0,0,0,0,0,0,,,,,27.25389079999877,27.25389079999877,37.19593004001363,37.26214830001118,,,,593816,001,2023-10-19_11h25.23.800,ASSR3,2022.2.5,60.057390835718174,
0,0,0,0,1,0,1,0,,,,,97.27216449999833,97.27216449999833,107.19643724000488,107.27969880000455,,,,593816,001,2023-10-19_11h25.23.800,ASSR3,2022.2.5,60.057390835718174,
0,0,0,0,2,0,2,0,,,,,167.28964319999795,167.28964319999795,177.1976340400084,177.2976658999978,,,,593816,001,2023-10-19_11h25.23.800,ASSR3,2022.2.5,60.057390835718174,
0,0,0,0,3,0,3,0,,,,,237.27412950000144,237.27412950000144,247.19902773999783,247.28221960001974,,,,593816,001,2023-10-19_11h25.23.800,ASSR3,2022.2.5,60.057390835718174,
0,0,0,0,4,0,4,0,,,,,307.27552480000304,307.27552480000304,317.2006902399968,317.2840406000032,,,,593816,001,2023-10-19_11h25.23.800,ASSR3,2022.2.5,60.057390835718174,
0,0,0,0,,,,,,,,,,,,,377.22686330002034,,,593816,001,2023-10-19_11h25.23.800,ASSR3,2022.2.5,60.057390835718174,
1,0,1,0,0,0,0,0,,,,,382.2724242999975,382.2724242999975,392.19773804001454,392.28001469999435,,,,593816,001,2023-10-19_11h25.23.800,ASSR3,2022.2.5,60.057390835718174,
1,0,1,0,1,0,1,0,,,,,452.25666340001044,452.25666340001044,462.1986597400188,462.26504690002184,,,,593816,001,2023-10-19_11h25.23.800,ASSR3,2022.2.5,60.057390835718174,
1,0,1,0,2,0,2,0,,,,,522.257852300012,522.257852300012,532.199975240024,532.2658131000062,,,,593816,001,2023-10-19_11h25.23.800,ASSR3,2022.2.5,60.057390835718174,
1,0,1,0,3,0,3,0,,,,,592.2759034000046,592.2759034000046,602.2004870400211,602.2837177000183,,,,593816,001,2023-10-19_11h25.23.800,ASSR3,2022.2.5,60.057390835718174,
1,0,1,0,4,0,4,0,,,,,662.2770867000218,662.2770867000218,672.2017891400116,672.2849558000162,,,,593816,001,2023-10-19_11h25.23.800,ASSR3,2022.2.5,60.057390835718174,
1,0,1,0,,,,,,,,,,,,,732.2289869000087,,,593816,001,2023-10-19_11h25.23.800,ASSR3,2022.2.5,60.057390835718174,
2,0,2,0,0,0,0,0,,,,,737.2572010000004,737.2572010000004,747.1983347400179,747.2649867,,,,593816,001,2023-10-19_11h25.23.800,ASSR3,2022.2.5,60.057390835718174,
2,0,2,0,1,0,1,0,,,,,807.2583796000108,807.2583796000108,817.2000187400059,817.2664380000206,,,,593816,001,2023-10-19_11h25.23.800,ASSR3,2022.2.5,60.057390835718174,
2,0,2,0,2,0,2,0,,,,,877.2767824000039,877.2767824000039,887.2016319400078,887.2843072999967,,,,593816,001,2023-10-19_11h25.23.800,ASSR3,2022.2.5,60.057390835718174,
2,0,2,0,3,0,3,0,,,,,947.277395800018,947.277395800018,957.2024636399962,957.2856972000154,,,,593816,001,2023-10-19_11h25.23.800,ASSR3,2022.2.5,60.057390835718174,
2,0,2,0,4,0,4,0,,,,,1017.2785606000107,1017.2785606000107,1027.204240540022,1027.2864763000107,,,,593816,001,2023-10-19_11h25.23.800,ASSR3,2022.2.5,60.057390835718174,
2,0,2,0,,,,,,,,,,,,,1087.2138899000129,,,593816,001,2023-10-19_11h25.23.800,ASSR3,2022.2.5,60.057390835718174,
,,,,,,,,,,,,,,,,,1092.2093773000233,1092.2093773000233,,,,,,,
