trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,ModulatedTone.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.60771520016715,11.60771520016715,space,50.08052790001966,,,,,,449971,001,2023-10-10_13h40.23.092,ASSR3,2022.2.5,59.85353843289002,
0,0,0,0,0,0,0,0,,,,,61.7555818001274,61.7555818001274,62.20663945004344,62.255084100179374,,449971,001,2023-10-10_13h40.23.092,ASSR3,2022.2.5,59.85353843289002,
0,0,0,0,1,0,1,0,,,,,64.286490800092,64.286490800092,64.7038067500107,64.78677080012858,,449971,001,2023-10-10_13h40.23.092,ASSR3,2022.2.5,59.85353843289002,
0,0,0,0,2,0,2,0,,,,,66.78437220002525,66.78437220002525,67.20126855000854,67.2842179001309,,449971,001,2023-10-10_13h40.23.092,ASSR3,2022.2.5,59.85353843289002,
0,0,0,0,3,0,3,0,,,,,69.2657465999946,69.2657465999946,69.69876365014352,69.76515370002016,,449971,001,2023-10-10_13h40.23.092,ASSR3,2022.2.5,59.85353843289002,
0,0,0,0,4,0,4,0,,,,,71.77992370002903,71.77992370002903,72.19674515002407,72.27980570006184,,449971,001,2023-10-10_13h40.23.092,ASSR3,2022.2.5,59.85353843289002,
0,0,0,0,5,0,5,0,,,,,74.2607266001869,74.2607266001869,74.69381385017186,74.76104240003042,,449971,001,2023-10-10_13h40.23.092,ASSR3,2022.2.5,59.85353843289002,
0,0,0,0,6,0,6,0,,,,,76.77508290018886,76.77508290018886,77.19230365008116,77.27463590004481,79.22233110014349,449971,001,2023-10-10_13h40.23.092,ASSR3,2022.2.5,59.85353843289002,
0,0,0,0,7,0,7,0,,,,,79.2728624001611,79.2728624001611,79.70604005013593,79.77253459999338,,449971,001,2023-10-10_13h40.23.092,ASSR3,2022.2.5,59.85353843289002,
0,0,0,0,8,0,8,0,,,,,81.78725910000503,81.78725910000503,82.20431625004858,82.28672690014355,,449971,001,2023-10-10_13h40.23.092,ASSR3,2022.2.5,59.85353843289002,
0,0,0,0,9,0,9,0,,,,,84.28468250017613,84.28468250017613,84.70098985009827,84.78501640004106,86.71567369997501,449971,001,2023-10-10_13h40.23.092,ASSR3,2022.2.5,59.85353843289002,
0,0,0,0,10,0,10,0,,,,,86.78254150017165,86.78254150017165,87.20086005004123,87.28204099996947,,449971,001,2023-10-10_13h40.23.092,ASSR3,2022.2.5,59.85353843289002,
0,0,0,0,11,0,11,0,,,,,89.27983720018528,89.27983720018528,89.69683074997738,89.77961680013686,91.71144130011089,449971,001,2023-10-10_13h40.23.092,ASSR3,2022.2.5,59.85353843289002,
0,0,0,0,12,0,12,0,,,,,91.79379700007848,91.79379700007848,92.1942773500923,92.29465070017613,94.20902740000747,449971,001,2023-10-10_13h40.23.092,ASSR3,2022.2.5,59.85353843289002,
0,0,0,0,13,0,13,0,,,,,94.27509420015849,94.27509420015849,94.6922670500353,94.77526789996773,96.72289370000362,449971,001,2023-10-10_13h40.23.092,ASSR3,2022.2.5,59.85353843289002,
0,0,0,0,14,0,14,0,,,,,96.82311640004627,96.82311640004627,97.20633025001734,97.32286250009201,,449971,001,2023-10-10_13h40.23.092,ASSR3,2022.2.5,59.85353843289002,
0,0,0,0,15,0,15,0,,,,,99.28753160010092,99.28753160010092,99.70422965008765,99.78712680004537,,449971,001,2023-10-10_13h40.23.092,ASSR3,2022.2.5,59.85353843289002,
0,0,0,0,16,0,16,0,,,,,101.80179499997757,101.80179499997757,102.20168965007178,102.3010136000812,,449971,001,2023-10-10_13h40.23.092,ASSR3,2022.2.5,59.85353843289002,
0,0,0,0,17,0,17,0,,,,,104.28247450012714,104.28247450012714,104.6992190501187,104.78400330012664,,449971,001,2023-10-10_13h40.23.092,ASSR3,2022.2.5,59.85353843289002,
0,0,0,0,18,0,18,0,,,,,106.79721500002779,106.79721500002779,107.19738705013879,107.2967467000708,,449971,001,2023-10-10_13h40.23.092,ASSR3,2022.2.5,59.85353843289002,
0,0,0,0,19,0,19,0,,,,,109.27730900002643,109.27730900002643,109.69427315006033,109.77760070003569,111.70830140006728,449971,001,2023-10-10_13h40.23.092,ASSR3,2022.2.5,59.85353843289002,
0,0,0,0,20,0,20,0,,,,,111.77489300002344,111.77489300002344,112.19209895003587,112.27574359998107,114.20661620004103,449971,001,2023-10-10_13h40.23.092,ASSR3,2022.2.5,59.85353843289002,
,,,,,,,,,,,,114.27331020007841,114.27331020007841,114.69138755020685,114.7741025001742,,,,,,,,
