trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,Rest.started,ModulatedTone.started,Cross.started,Rest.stopped,ModulatedTone.stopped,Cross.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.37042620000284,19.37042620000284,space,165.59711879999668,,,,,,,,,,,548060,001,2023-11-16_17h12.44.521,ASSR3,2022.2.5,59.77800838788271,
0,0,0,0,0,0,0,0,,,,,184.9957377000028,190.077082900003,190.077082900003,219.99334621000088,220.00873670000146,220.07679910000297,,,,,548060,001,2023-11-16_17h12.44.521,ASSR3,2022.2.5,59.77800838788271,
0,0,0,0,1,0,1,0,,,,,,,250.10767570000462,279.9899457100029,279.9912626000005,280.1233260000008,,,,,548060,001,2023-11-16_17h12.44.521,ASSR3,2022.2.5,59.77800838788271,
0,0,0,0,2,0,2,0,,,,,,,310.1206316000025,339.98681981000044,339.98651520000567,340.1198530000038,,,,,548060,001,2023-11-16_17h12.44.521,ASSR3,2022.2.5,59.77800838788271,
0,0,0,0,3,0,3,0,,,,,,,370.1006544000047,399.9832891100006,399.983278300002,400.09977430000436,,,,,548060,001,2023-11-16_17h12.44.521,ASSR3,2022.2.5,59.77800838788271,
0,0,0,0,4,0,4,0,,,,,,,430.1144736999995,459.9801608100017,459.98025740000594,460.1139484000014,490.0106636000055,490.0106636000055,,,548060,001,2023-11-16_17h12.44.521,ASSR3,2022.2.5,59.77800838788271,
0,0,0,0,,,,,,,,,,,,,,,,,,,548060,001,2023-11-16_17h12.44.521,ASSR3,2022.2.5,59.77800838788271,
1,0,1,0,0,0,0,0,,,,,490.0106636000055,,495.1108478000024,524.9930862100002,524.9928524999996,525.1097099000035,,554.9918059000047,,,548060,001,2023-11-16_17h12.44.521,ASSR3,2022.2.5,59.77800838788271,
1,0,1,0,1,0,1,0,,,,,,,555.1076329999996,584.9898950100026,584.9896169000058,585.106262500005,,,,,548060,001,2023-11-16_17h12.44.521,ASSR3,2022.2.5,59.77800838788271,
1,0,1,0,2,0,2,0,,,,,,,615.1209460000027,644.9864983100044,644.9878322000004,645.1197912000061,675.0004227000027,,,,548060,001,2023-11-16_17h12.44.521,ASSR3,2022.2.5,59.77800838788271,
1,0,1,0,3,0,3,0,,,,,,,675.1171093000012,704.9850252099998,704.9850781999994,705.1183879000018,,,,,548060,001,2023-11-16_17h12.44.521,ASSR3,2022.2.5,59.77800838788271,
1,0,1,0,4,0,4,0,,,,,,,735.1145432000048,764.980129310002,764.980120799999,765.130719700006,795.0115105000004,795.0115105000004,,,548060,001,2023-11-16_17h12.44.521,ASSR3,2022.2.5,59.77800838788271,
1,0,1,0,,,,,,,,,,,,,,,,,,,548060,001,2023-11-16_17h12.44.521,ASSR3,2022.2.5,59.77800838788271,
2,0,2,0,0,0,0,0,,,,,795.0115105000004,,800.0936262000032,829.9936303100033,829.9929517000055,830.092561700003,,,,,548060,001,2023-11-16_17h12.44.521,ASSR3,2022.2.5,59.77800838788271,
2,0,2,0,1,0,1,0,,,,,,,860.1243433000054,889.9897376100046,889.9899169000055,890.1404518000054,,,,,548060,001,2023-11-16_17h12.44.521,ASSR3,2022.2.5,59.77800838788271,
2,0,2,0,2,0,2,0,,,,,,,920.1205275000029,949.9868981100001,949.9867640000011,950.1202317999996,,,,,548060,001,2023-11-16_17h12.44.521,ASSR3,2022.2.5,59.77800838788271,
2,0,2,0,3,0,3,0,,,,,,,980.1009589000023,1009.9832943100039,1009.9834880000053,1010.1006992000039,,,,,548060,001,2023-11-16_17h12.44.521,ASSR3,2022.2.5,59.77800838788271,
2,0,2,0,4,0,4,0,,,,,,,1040.1308497999999,1069.9801189100028,1069.979985900005,1070.129637500002,1099.9940728000001,1099.9940728000001,,,548060,001,2023-11-16_17h12.44.521,ASSR3,2022.2.5,59.77800838788271,
2,0,2,0,,,,,,,,,,,,,,,,,,,548060,001,2023-11-16_17h12.44.521,ASSR3,2022.2.5,59.77800838788271,
,,,,,,,,,,,,,,,,,,,,1100.0119115000052,1100.0119115000052,,,,,,,
