trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,ModulatedTone.stopped,text_2.started,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,65.21119119995274,65.21119119995274,space,44.816575000062585,,,,,,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
0,0,0,0,0,0,0,0,,,,,110.1121520998422,110.1121520998422,112.04449308994226,112.11110539990477,,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
0,0,0,0,1,0,1,0,,,,,117.13898950000294,117.13898950000294,119.0384612898808,119.1378953999374,,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
0,0,0,0,2,0,2,0,,,,,124.13240749994293,124.13240749994293,126.03144858991728,126.14825699990615,131.0603879999835,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
0,0,0,0,3,0,3,0,,,,,131.1588138998486,131.1588138998486,133.04151428984477,133.174677999923,,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
0,0,0,0,4,0,4,0,,,,,138.13566539995372,138.13566539995372,140.03495918987318,140.13464949978516,145.06505999993533,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
0,0,0,0,5,0,5,0,,,,,145.1464014998637,145.1464014998637,147.0450809898786,147.1612880998291,,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
0,0,0,0,6,0,6,0,,,,,152.14106629998423,152.14106629998423,154.03865108992903,154.15503279981203,,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
0,0,0,0,7,0,7,0,,,,,159.132842999883,159.132842999883,161.0318789899349,161.1324191999156,166.0607191999443,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
0,0,0,0,8,0,8,0,,,,,166.16105019999668,166.16105019999668,168.04168038982897,168.17877449980006,,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
0,0,0,0,9,0,9,0,,,,,173.13671160000376,173.13671160000376,175.03629568992181,175.15171959996223,180.06344599998556,,,,LeviShield,001,2023-10-11_15h42.49.479,ASSR3,2022.2.5,59.700316391151084,
