trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,CloseEyes.started,ModulatedTone.started,OpenEyes.started,CloseEyes.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,14.58529380010441,14.58529380010441,space,63.23314069991466,,,,,,513097,001,2023-11-10_14h02.28.558,ASSR3,2022.2.5,60.31177569411652,
0,0,0,0,,,,,77.83379870001227,82.9288702000631,112.83557106003863,112.83573580009397,112.93441890005488,513097,001,2023-11-10_14h02.28.558,ASSR3,2022.2.5,60.31177569411652,
,,,,,,,,,142.92260870011523,,,,,,,,,,
