trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,ModulatedTone.stopped,text_2.started,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
2,0,2,0,6,0,6,0,,,,,261.31293380004354,261.31293380004354,263.19536624019963,263.32875490002334,268.2236550000962,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
2,0,2,0,7,0,7,0,,,,,268.32187950005755,268.32187950005755,270.20502084014004,270.3216939000413,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
2,0,2,0,8,0,8,0,,,,,275.33494910015725,275.33494910015725,277.19901814018374,277.3477962000761,282.2271383001935,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
2,0,2,0,9,0,9,0,,,,,282.3263657002244,282.3263657002244,284.2105431401636,284.3425607001409,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
2,0,2,0,,,,,,,,,,,,,,289.23760200012475,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
3,0,3,0,0,0,0,0,,,,,294.2825186001137,294.2825186001137,296.22370594004167,296.2981986000668,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
3,0,3,0,1,0,1,0,,,,,301.31005160021596,301.31005160021596,303.208767740149,303.308210400166,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
3,0,3,0,2,0,2,0,,,,,308.8718164002057,308.8718164002057,310.2204482400324,310.88325090007856,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
3,0,3,0,3,0,3,0,,,,,315.34595190011896,315.34595190011896,317.1983489402104,317.3442134000361,322.2229862001259,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
3,0,3,0,4,0,4,0,,,,,322.3272061001044,322.3272061001044,324.204332640022,324.33816400007345,,,,,Levisshield,001,2023-10-10_16h15.33.296,ASSR3,2022.2.5,60.45824931672438,
