trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,Cross.started,Rest.started,ModulatedTone.started,Rest.stopped,ModulatedTone.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,24.78424199996516,24.78424199996516,space,11.660829700005706,,,,,,,,,,496509,001,2023-10-31_16h06.12.870,ASSR3,2022.2.5,60.355748851563284,
0,0,0,0,0,0,0,0,,,,,36.46558479999658,41.5484953999985,41.5484953999985,41.5484953999985,51.44989974000491,51.55034379998688,,,,496509,001,2023-10-31_16h06.12.870,ASSR3,2022.2.5,60.355748851563284,
0,0,0,0,1,0,1,0,,,,,,,111.56615410000086,111.56615410000086,121.45020053996704,121.5682475999929,,,,496509,001,2023-10-31_16h06.12.870,ASSR3,2022.2.5,60.355748851563284,
0,0,0,0,2,0,2,0,,,,,,,181.56591579999076,181.56591579999076,191.4657879399718,191.56579679995775,,,,496509,001,2023-10-31_16h06.12.870,ASSR3,2022.2.5,60.355748851563284,
0,0,0,0,3,0,3,0,,,,,,,251.5492733999854,251.5492733999854,261.4505466399831,261.5502500999719,,,,496509,001,2023-10-31_16h06.12.870,ASSR3,2022.2.5,60.355748851563284,
0,0,0,0,4,0,4,0,,,,,,,321.5337075999705,321.5337075999705,331.45067144000205,331.53393959999084,,,,496509,001,2023-10-31_16h06.12.870,ASSR3,2022.2.5,60.355748851563284,
0,0,0,0,,,,,,,,,,,,,,,,,,496509,001,2023-10-31_16h06.12.870,ASSR3,2022.2.5,60.355748851563284,
1,0,1,0,0,0,0,0,,,,,391.489094199962,,396.63578379998216,396.63578379998216,406.470925739978,406.6555294999853,,,,496509,001,2023-10-31_16h06.12.870,ASSR3,2022.2.5,60.355748851563284,
1,0,1,0,1,0,1,0,,,,,,,466.5682532999781,466.5682532999781,476.4523535400047,476.5692100999877,536.4684461999568,,,496509,001,2023-10-31_16h06.12.870,ASSR3,2022.2.5,60.355748851563284,
1,0,1,0,2,0,2,0,,,,,,,536.5686657999759,536.5686657999759,546.4530848399852,546.568633799965,,,,496509,001,2023-10-31_16h06.12.870,ASSR3,2022.2.5,60.355748851563284,
1,0,1,0,3,0,3,0,,,,,,,606.569050399994,606.569050399994,616.4743433399824,616.5905452999868,,,,496509,001,2023-10-31_16h06.12.870,ASSR3,2022.2.5,60.355748851563284,
1,0,1,0,4,0,4,0,,,,,,,676.6207870999933,676.6207870999933,686.4550260399817,686.6255947999889,,,,496509,001,2023-10-31_16h06.12.870,ASSR3,2022.2.5,60.355748851563284,
1,0,1,0,,,,,,,,,,,,,,,,,,496509,001,2023-10-31_16h06.12.870,ASSR3,2022.2.5,60.355748851563284,
,,,,,,,,,,,,,,,,,,,746.4704520999803,746.4704520999803,,,,,,,
