trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,CloseEyes.started,ModulatedTone.started,OpenEyes.started,CloseEyes.stopped,ModulatedTone.stopped,OpenEyes.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,39.45060650000005,39.45060650000005,space,100.84083599999985,,,,,,,,,,019496,001,2023-11-16_14h13.17.126,ASSR3,2022.2.5,59.95110387976368,
0,0,0,0,,,,,140.31736290000026,145.3973020000003,175.30262017000018,175.30287130000033,175.4015319,205.3720526000002,205.3720526000002,,,019496,001,2023-11-16_14h13.17.126,ASSR3,2022.2.5,59.95110387976368,
1,0,1,0,,,,,,205.3720526000002,235.31153567000024,235.31167230000028,235.3788254000001,265.4002998000001,265.4002998000001,,,019496,001,2023-11-16_14h13.17.126,ASSR3,2022.2.5,59.95110387976368,
2,0,2,0,,,,,,265.4002998000001,295.3067523699999,295.3057939,295.4081535,325.3775501,325.3775501,,,019496,001,2023-11-16_14h13.17.126,ASSR3,2022.2.5,59.95110387976368,
3,0,3,0,,,,,,325.3775501,355.31759177000026,355.31607840000015,355.38367670000025,,,,,019496,001,2023-11-16_14h13.17.126,ASSR3,2022.2.5,59.95110387976368,
4,0,4,0,,,,,,385.38740400000006,415.3103478700002,415.31142910000017,415.3944528000002,445.3835964,445.3835964,,,019496,001,2023-11-16_14h13.17.126,ASSR3,2022.2.5,59.95110387976368,
5,0,5,0,,,,,,445.3835964,475.30429677000006,475.3037024,475.3876508000003,505.37600939999993,505.37600939999993,,,019496,001,2023-11-16_14h13.17.126,ASSR3,2022.2.5,59.95110387976368,
6,0,6,0,,,,,,505.37600939999993,535.3154640700002,535.3158203000003,535.3825115,,,,,019496,001,2023-11-16_14h13.17.126,ASSR3,2022.2.5,59.95110387976368,
7,0,7,0,,,,,,565.3861953,595.3089991700001,595.3115648000003,595.3926242000002,625.3965901000001,625.3965901000001,,,019496,001,2023-11-16_14h13.17.126,ASSR3,2022.2.5,59.95110387976368,
8,0,8,0,,,,,,625.3965901000001,655.3028708700001,655.3039684,655.4028510000003,685.3913446000001,685.3913446000001,,,019496,001,2023-11-16_14h13.17.126,ASSR3,2022.2.5,59.95110387976368,
9,0,9,0,,,,,,685.3913446000001,715.31450647,715.3130155000003,715.3966111,745.3345074000003,745.3345074000003,,,019496,001,2023-11-16_14h13.17.126,ASSR3,2022.2.5,59.95110387976368,
,,,,,,,,,,,,,,,745.3345074000003,745.3345074000003,,,,,,,
