trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,Cross.started,Rest.started,ModulatedTone.started,Rest.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.704977899999903,14.704977899999903,space,248.9125381999993,,,,,,,,900370,001,2023-11-01_11h51.37.521,ASSR3,2022.2.5,59.7886590479897,
0,0,0,0,0,0,0,0,,,,,263.6387231000008,268.72657789999994,268.72657789999994,278.63675048000005,278.73727380000037,,,900370,001,2023-11-01_11h51.37.521,ASSR3,2022.2.5,59.7886590479897,
0,0,0,0,1,0,1,0,,,,,,338.7464832000005,338.7464832000005,348.62400418000016,348.7584047,,,900370,001,2023-11-01_11h51.37.521,ASSR3,2022.2.5,59.7886590479897,
0,0,0,0,2,0,2,0,,,,,,408.75214870000036,408.75214870000036,418.62868138000067,418.76353890000064,,,900370,001,2023-11-01_11h51.37.521,ASSR3,2022.2.5,59.7886590479897,
0,0,0,0,3,0,3,0,,,,,,478.7203306000001,478.7203306000001,488.63163948000056,488.73287450000043,,,900370,001,2023-11-01_11h51.37.521,ASSR3,2022.2.5,59.7886590479897,
0,0,0,0,4,0,4,0,,,,,,548.7246649000008,548.7246649000008,558.6346806800002,558.7354683000003,,,900370,001,2023-11-01_11h51.37.521,ASSR3,2022.2.5,59.7886590479897,
0,0,0,0,,,,,,,,,,,,,,,,900370,001,2023-11-01_11h51.37.521,ASSR3,2022.2.5,59.7886590479897,
1,0,1,0,0,0,0,0,,,,,618.662214,623.6997360000005,623.6997360000005,633.6274448800004,633.7105276000002,,,900370,001,2023-11-01_11h51.37.521,ASSR3,2022.2.5,59.7886590479897,
1,0,1,0,1,0,1,0,,,,,,693.7549267000004,693.7549267000004,703.6314019800002,703.7653487000007,,,900370,001,2023-11-01_11h51.37.521,ASSR3,2022.2.5,59.7886590479897,
1,0,1,0,2,0,2,0,,,,,,763.741919,763.741919,773.63524788,773.7522647000005,,,900370,001,2023-11-01_11h51.37.521,ASSR3,2022.2.5,59.7886590479897,
1,0,1,0,3,0,3,0,,,,,,833.7121733000004,833.7121733000004,843.6391894799999,843.7220196000007,,,900370,001,2023-11-01_11h51.37.521,ASSR3,2022.2.5,59.7886590479897,
1,0,1,0,4,0,4,0,,,,,,903.7151544000008,903.7151544000008,913.6260350800003,913.7261711000001,,,900370,001,2023-11-01_11h51.37.521,ASSR3,2022.2.5,59.7886590479897,
1,0,1,0,,,,,,,,,,,,,,,,900370,001,2023-11-01_11h51.37.521,ASSR3,2022.2.5,59.7886590479897,
,,,,,,,,,,,,,,,,,973.6530442000003,973.6530442000003,,,,,,,
