trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,ModulatedTone.stopped,key_resp_3.started,text_2.started,key_resp_3.keys,key_resp_3.rt,text_4.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
2,0,2,0,1,0,1,0,,,,,190.27338330005296,190.27338330005296,192.15450620993505,192.2895651999861,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
2,0,2,0,2,0,2,0,,,,,197.26789780007675,197.26789780007675,199.148429909884,199.2819113000296,204.17704179999419,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
2,0,2,0,3,0,3,0,,,,,204.2773203998804,204.2773203998804,206.1594431099249,206.27668210002594,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
2,0,2,0,4,0,4,0,,,,,211.2723586000502,211.2723586000502,213.15184720994438,213.2856560999062,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
2,0,2,0,5,0,5,0,,,,,218.2665726998821,218.2665726998821,220.16269980992655,220.28077299986035,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
2,0,2,0,6,0,6,0,,,,,225.27464289986528,225.27464289986528,227.15554771006572,227.28853320004418,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
2,0,2,0,7,0,7,0,,,,,232.2676732998807,232.2676732998807,234.14962821004445,234.28203799994662,239.1777675000485,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
2,0,2,0,8,0,8,0,,,,,239.2604606000241,239.2604606000241,241.16108100994023,241.27623389987275,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
2,0,2,0,9,0,9,0,,,,,246.27092789998278,246.27092789998278,248.15375710993538,248.28600659989752,253.1822069999762,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
2,0,2,0,,,,,,,,,,,,,,253.19803559989668,253.19803559989668,space,2.152231300016865,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
3,0,3,0,0,0,0,0,,,,,255.462230599951,255.462230599951,257.3777831100626,257.47860060003586,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
3,0,3,0,1,0,1,0,,,,,262.4900245000608,262.4900245000608,264.3760571099585,264.4886689998675,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
3,0,3,0,2,0,2,0,,,,,269.48310419986956,269.48310419986956,271.3688422098523,271.48106630006805,276.3938519998919,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
3,0,3,0,3,0,3,0,,,,,276.4762651999481,276.4762651999481,278.37456150997895,278.4915779000148,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
3,0,3,0,4,0,4,0,,,,,283.4699079000857,283.4699079000857,285.3683809099486,285.48527060006745,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
3,0,3,0,5,0,5,0,,,,,290.48337589995936,290.48337589995936,292.37804830998647,292.4950087000616,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
