trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,key_resp_3.started,text_2.started,key_resp_3.keys,key_resp_3.rt,text_4.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
2,0,2,0,5,0,5,0,,,,,366.89206120000017,366.89206120000017,369.3772685699943,369.39212479999696,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
2,0,2,0,6,0,6,0,,,,,379.39135809999425,379.39135809999425,381.8746084699953,381.8915249999991,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
2,0,2,0,7,0,7,0,,,,,391.8906266999984,391.8906266999984,394.3736062699965,394.39071169999806,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
2,0,2,0,8,0,8,0,,,,,404.39026999999624,404.39026999999624,406.8730587699967,406.8894169999985,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
2,0,2,0,9,0,9,0,,,,,416.8893781000006,416.8893781000006,419.3729783699957,419.3901259999984,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
2,0,2,0,,,,,,,,,,,,,429.3894813000006,429.3894813000006,space,25.18292040000233,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
3,0,3,0,0,0,0,0,,,,,454.61988039999414,454.61988039999414,457.104468769997,457.12213340000017,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
3,0,3,0,1,0,1,0,,,,,467.1359039999952,467.1359039999952,469.603082969995,469.6359727999952,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
3,0,3,0,2,0,2,0,,,,,479.635134199998,479.635134199998,482.102759569999,482.13602239999454,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
3,0,3,0,3,0,3,0,,,,,492.1186052999983,492.1186052999983,494.6032464699958,494.6180867000003,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
3,0,3,0,4,0,4,0,,,,,504.6184432000009,504.6184432000009,507.1017622700012,507.11828469999455,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
3,0,3,0,5,0,5,0,,,,,517.117172899998,517.117172899998,519.6007650699969,519.6171876999942,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
3,0,3,0,6,0,6,0,,,,,529.6169971999989,529.6169971999989,532.0998515699969,532.1326450999986,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
3,0,3,0,7,0,7,0,,,,,542.1155665999977,542.1155665999977,544.5995511700014,544.615965799996,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
3,0,3,0,8,0,8,0,,,,,554.6151682999989,554.6151682999989,557.0988756699946,557.1157445999997,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
3,0,3,0,9,0,9,0,,,,,567.114759600001,567.114759600001,569.5977311699965,569.614496999995,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
3,0,3,0,,,,,,,,,,,,,579.6152646999981,579.6152646999981,space,2.4485879999992903,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
,,,,,,,,,,,,,,,,,,,,582.2679829999979,582.2679829999979,space,13.224550600003568,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
