trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,ModulatedTone.stopped,key_resp_3.started,text_2.started,key_resp_3.keys,key_resp_3.rt,text_4.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,21.249317400041036,21.249317400041036,space,14.513170899939723,,,,,,,,,,,,,,Levi,001,2023-10-03_16h08.32.199,ASSR2,2022.2.5,60.41638979215107,
0,0,0,0,0,0,0,0,,,,,35.87967840000056,35.87967840000056,38.277551230078096,38.3992727000732,,,,,,,,,,Levi,001,2023-10-03_16h08.32.199,ASSR2,2022.2.5,60.41638979215107,
0,0,0,0,1,0,1,0,,,,,48.39930579997599,48.39930579997599,50.767673630069474,50.899835400050506,60.8043605000712,,,,,,,,,Levi,001,2023-10-03_16h08.32.199,ASSR2,2022.2.5,60.41638979215107,
0,0,0,0,2,0,2,0,,,,,60.91174490004778,60.91174490004778,63.27151512998389,63.421483600046486,73.29212650004774,,,,,,,,,Levi,001,2023-10-03_16h08.32.199,ASSR2,2022.2.5,60.41638979215107,
0,0,0,0,3,0,3,0,,,,,73.37674390000757,73.37674390000757,75.7789183300105,75.89235570002347,,,,,,,,,,Levi,001,2023-10-03_16h08.32.199,ASSR2,2022.2.5,60.41638979215107,
0,0,0,0,4,0,4,0,,,,,85.89892690000124,85.89892690000124,88.28213003001875,88.39783230004832,,,,,,,,,,Levi,001,2023-10-03_16h08.32.199,ASSR2,2022.2.5,60.41638979215107,
0,0,0,0,5,0,5,0,,,,,98.40213409997523,98.40213409997523,100.77257212999976,100.90365100000054,110.79130689997692,,,,,,,,,Levi,001,2023-10-03_16h08.32.199,ASSR2,2022.2.5,60.41638979215107,
0,0,0,0,6,0,6,0,,,,,110.89344080002047,110.89344080002047,113.27456973007648,113.40676390007138,123.29604879999533,,,,,,,,,Levi,001,2023-10-03_16h08.32.199,ASSR2,2022.2.5,60.41638979215107,
0,0,0,0,7,0,7,0,,,,,123.3971052999841,123.3971052999841,125.7789698300534,125.91183970007114,,,,,,,,,,Levi,001,2023-10-03_16h08.32.199,ASSR2,2022.2.5,60.41638979215107,
0,0,0,0,8,0,8,0,,,,,135.90224349999335,135.90224349999335,138.2685700300266,138.4209846999729,148.29498460004106,,,,,,,,,Levi,001,2023-10-03_16h08.32.199,ASSR2,2022.2.5,60.41638979215107,
0,0,0,0,9,0,9,0,,,,,148.39292190002743,148.39292190002743,150.77400013004663,150.90550260001328,160.7957814000547,,,,,,,,,Levi,001,2023-10-03_16h08.32.199,ASSR2,2022.2.5,60.41638979215107,
