trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,Cross.started,Rest.started,ModulatedTone.started,Rest.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,15.827785300000187,15.827785300000187,space,136.13723679999998,,,,,,,,460050,001,2023-11-01_11h57.55.391,ASSR3,2022.2.5,60.76286562541463,
0,0,0,0,0,0,0,0,,,,,151.9940465000002,157.1212031,157.1212031,166.98005528000016,167.13097970000013,,,460050,001,2023-11-01_11h57.55.391,ASSR3,2022.2.5,60.76286562541463,
0,0,0,0,1,0,1,0,,,,,,227.07440340000016,227.07440340000016,236.98222558000015,237.0823842000002,,,460050,001,2023-11-01_11h57.55.391,ASSR3,2022.2.5,60.76286562541463,
0,0,0,0,2,0,2,0,,,,,,297.075153,297.075153,306.9830638800001,307.0831081000001,,,460050,001,2023-11-01_11h57.55.391,ASSR3,2022.2.5,60.76286562541463,
0,0,0,0,3,0,3,0,,,,,,367.07615980000014,367.07615980000014,376.98402628,377.0842865000002,,,460050,001,2023-11-01_11h57.55.391,ASSR3,2022.2.5,60.76286562541463,
0,0,0,0,4,0,4,0,,,,,,437.0773739000001,437.0773739000001,446.98596518000016,447.0849910000002,,,460050,001,2023-11-01_11h57.55.391,ASSR3,2022.2.5,60.76286562541463,
0,0,0,0,,,,,,,,,,,,,,,,460050,001,2023-11-01_11h57.55.391,ASSR3,2022.2.5,60.76286562541463,
1,0,1,0,0,0,0,0,,,,,506.9955781000001,512.0747557000002,512.0747557000002,521.9823173800003,522.0819978000002,,,460050,001,2023-11-01_11h57.55.391,ASSR3,2022.2.5,60.76286562541463,
1,0,1,0,1,0,1,0,,,,,,582.0769961000001,582.0769961000001,591.9834193800002,592.0834606000001,,,460050,001,2023-11-01_11h57.55.391,ASSR3,2022.2.5,60.76286562541463,
1,0,1,0,2,0,2,0,,,,,,652.0767891,652.0767891,661.9844552800002,662.0835023000002,,,460050,001,2023-11-01_11h57.55.391,ASSR3,2022.2.5,60.76286562541463,
1,0,1,0,3,0,3,0,,,,,,722.0775725000001,722.0775725000001,731.9866757800003,732.0850352,,,460050,001,2023-11-01_11h57.55.391,ASSR3,2022.2.5,60.76286562541463,
1,0,1,0,4,0,4,0,,,,,,792.0634544000002,792.0634544000002,801.9866840800003,802.0699593000002,,,460050,001,2023-11-01_11h57.55.391,ASSR3,2022.2.5,60.76286562541463,
1,0,1,0,,,,,,,,,,,,,,,,460050,001,2023-11-01_11h57.55.391,ASSR3,2022.2.5,60.76286562541463,
2,0,2,0,0,0,0,0,,,,,862.0136032,867.0756700000002,867.0756700000002,876.9831758800001,877.0837759000001,,,460050,001,2023-11-01_11h57.55.391,ASSR3,2022.2.5,60.76286562541463,
2,0,2,0,1,0,1,0,,,,,,937.0771518000001,937.0771518000001,946.9846604800002,947.0842879000002,,,460050,001,2023-11-01_11h57.55.391,ASSR3,2022.2.5,60.76286562541463,
2,0,2,0,2,0,2,0,,,,,,1007.079305,1007.079305,1016.98576048,1017.0858527000003,,,460050,001,2023-11-01_11h57.55.391,ASSR3,2022.2.5,60.76286562541463,
2,0,2,0,3,0,3,0,,,,,,1077.0795281000003,1077.0795281000003,1086.98702898,1087.0869739000002,,,460050,001,2023-11-01_11h57.55.391,ASSR3,2022.2.5,60.76286562541463,
2,0,2,0,4,0,4,0,,,,,,1147.0813714000003,1147.0813714000003,1156.9886525800002,1157.0884321,,,460050,001,2023-11-01_11h57.55.391,ASSR3,2022.2.5,60.76286562541463,
2,0,2,0,,,,,,,,,,,,,,,,460050,001,2023-11-01_11h57.55.391,ASSR3,2022.2.5,60.76286562541463,
,,,,,,,,,,,,,,,,,1217.0157334000003,1217.0157334000003,,,,,,,
