trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,Rest.started,ModulatedTone.started,Cross.started,Rest.stopped,ModulatedTone.stopped,Cross.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.495139799999833,11.495139799999833,space,18.431522200000245,,,,,,,,,,,600375,001,2023-11-07_16h46.00.691,ASSR3,2022.2.5,60.055695652115034,
0,0,0,0,0,0,0,0,,,,,29.94437659999994,34.99312219999979,34.99312219999979,64.94201235999995,64.94199589999994,65.00905609999995,,,,,600375,001,2023-11-07_16h46.00.691,ASSR3,2022.2.5,60.055695652115034,
0,0,0,0,1,0,1,0,,,,,,,95.02284829999985,124.93895875999979,124.93854820000001,125.02177859999983,,,,,600375,001,2023-11-07_16h46.00.691,ASSR3,2022.2.5,60.055695652115034,
0,0,0,0,2,0,2,0,,,,,,,155.01910839999982,184.93447975999985,184.9344504999999,185.0347036999999,,,,,600375,001,2023-11-07_16h46.00.691,ASSR3,2022.2.5,60.055695652115034,
0,0,0,0,3,0,3,0,,,,,,,215.01524829999994,244.93135445999988,244.9321359999999,245.0148893999999,275.0117739,275.0117739,,,600375,001,2023-11-07_16h46.00.691,ASSR3,2022.2.5,60.055695652115034,
0,0,0,0,4,0,4,0,,,,,,,275.0117739,304.94437445999995,304.9443497999998,305.0276379999998,,,,,600375,001,2023-11-07_16h46.00.691,ASSR3,2022.2.5,60.055695652115034,
0,0,0,0,,,,,,,,,,,,,,,,,,,600375,001,2023-11-07_16h46.00.691,ASSR3,2022.2.5,60.055695652115034,
1,0,1,0,0,0,0,0,,,,,334.9746961999999,,340.0079902,369.9400766599998,369.9397715,370.02331189999995,,,,,600375,001,2023-11-07_16h46.00.691,ASSR3,2022.2.5,60.055695652115034,
1,0,1,0,1,0,1,0,,,,,,,400.02085669999997,429.9360899599998,429.9360078999998,430.01928869999983,,,,,600375,001,2023-11-07_16h46.00.691,ASSR3,2022.2.5,60.055695652115034,
1,0,1,0,2,0,2,0,,,,,,,460.01717069999995,489.9324620599999,489.93235159999995,490.0323269999999,,,,,600375,001,2023-11-07_16h46.00.691,ASSR3,2022.2.5,60.055695652115034,
1,0,1,0,3,0,3,0,,,,,,,520.0138964999999,549.9455116599999,549.9459514999999,550.0289690999998,,,,,600375,001,2023-11-07_16h46.00.691,ASSR3,2022.2.5,60.055695652115034,
1,0,1,0,4,0,4,0,,,,,,,580.0261375999999,609.94201326,609.9420333999999,610.0417725,,,,,600375,001,2023-11-07_16h46.00.691,ASSR3,2022.2.5,60.055695652115034,
1,0,1,0,,,,,,,,,,,,,,,,,,,600375,001,2023-11-07_16h46.00.691,ASSR3,2022.2.5,60.055695652115034,
2,0,2,0,0,0,0,0,,,,,639.9724074999999,,645.0062939,674.9376277599998,674.9374393999999,675.0208301999999,,,,,600375,001,2023-11-07_16h46.00.691,ASSR3,2022.2.5,60.055695652115034,
2,0,2,0,1,0,1,0,,,,,,,705.0187990999998,734.93435556,734.9344246999999,735.0338399999998,,,,,600375,001,2023-11-07_16h46.00.691,ASSR3,2022.2.5,60.055695652115034,
2,0,2,0,2,0,2,0,,,,,,,765.0148712999999,794.9303276599998,794.9301697999999,795.0140893999999,825.0110565,825.0110565,,,600375,001,2023-11-07_16h46.00.691,ASSR3,2022.2.5,60.055695652115034,
2,0,2,0,3,0,3,0,,,,,,,825.0110565,854.9434288599999,854.9432426999999,855.0264173999999,,,,,600375,001,2023-11-07_16h46.00.691,ASSR3,2022.2.5,60.055695652115034,
2,0,2,0,4,0,4,0,,,,,,,885.0074993999999,914.9397558599998,914.9404827999999,915.0230220999999,,,,,600375,001,2023-11-07_16h46.00.691,ASSR3,2022.2.5,60.055695652115034,
2,0,2,0,,,,,,,,,,,,,,,,,,,600375,001,2023-11-07_16h46.00.691,ASSR3,2022.2.5,60.055695652115034,
,,,,,,,,,,,,,,,,,,,,944.9704797999998,944.9704797999998,,,,,,,
