trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,text_2.started,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.584700300001714,16.584700300001714,space,70.09495599999354,,,,,,,,957168,001,2023-10-13_13h41.50.244,ASSR3,2022.2.5,60.01648052440641,
0,0,0,0,0,0,0,0,,,,,86.7774544999993,86.7774544999993,96.6861941400006,96.78545250000025,,,,957168,001,2023-10-13_13h41.50.244,ASSR3,2022.2.5,60.01648052440641,
0,0,0,0,1,0,1,0,,,,,156.7788215000037,156.7788215000037,166.6863306399995,166.78956650000327,,,,957168,001,2023-10-13_13h41.50.244,ASSR3,2022.2.5,60.01648052440641,
0,0,0,0,2,0,2,0,,,,,226.78019840000343,226.78019840000343,236.68728074000174,236.78779100000247,,,,957168,001,2023-10-13_13h41.50.244,ASSR3,2022.2.5,60.01648052440641,
0,0,0,0,3,0,3,0,,,,,296.78241870000056,296.78241870000056,306.68973914000014,306.78896740000346,,,,957168,001,2023-10-13_13h41.50.244,ASSR3,2022.2.5,60.01648052440641,
0,0,0,0,4,0,4,0,,,,,366.79900869999983,366.79900869999983,376.6902145400039,376.80623700000433,,,,957168,001,2023-10-13_13h41.50.244,ASSR3,2022.2.5,60.01648052440641,
0,0,0,0,5,0,5,0,,,,,436.78406570000516,436.78406570000516,446.6913144400045,446.7920515000005,,,,957168,001,2023-10-13_13h41.50.244,ASSR3,2022.2.5,60.01648052440641,
0,0,0,0,6,0,6,0,,,,,506.78797340000165,506.78797340000165,516.6961186400025,516.7927850999986,,,,957168,001,2023-10-13_13h41.50.244,ASSR3,2022.2.5,60.01648052440641,
0,0,0,0,7,0,7,0,,,,,576.7854827000046,576.7854827000046,586.6941113400047,586.7933080000003,,,,957168,001,2023-10-13_13h41.50.244,ASSR3,2022.2.5,60.01648052440641,
0,0,0,0,8,0,8,0,,,,,646.8067454999982,646.8067454999982,656.6944674400023,656.8120511000016,,,,957168,001,2023-10-13_13h41.50.244,ASSR3,2022.2.5,60.01648052440641,
0,0,0,0,9,0,9,0,,,,,716.788337900005,716.788337900005,726.6955081400032,726.7957681000044,,,,957168,001,2023-10-13_13h41.50.244,ASSR3,2022.2.5,60.01648052440641,
0,0,0,0,,,,,,,,,,,,,786.7271327999988,,,957168,001,2023-10-13_13h41.50.244,ASSR3,2022.2.5,60.01648052440641,
,,,,,,,,,,,,,,,,,791.7022867999985,791.7022867999985,,,,,,,
