trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,fixation.stopped,response.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,46,3,187,1,,,,,648.2475969999941,649.2483387999964,649.2496079599907,650.9155643999984,651.2491537000024,2.6584381196473688,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,47,0,188,0,,,,,651.2491537000024,652.2478969999938,652.2491665599912,654.3319884999946,654.2477445999975,3.0773489074245393,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,47,1,189,3,,,,,654.3319884999946,655.3146198000031,655.3153156599976,657.2333079999953,657.3155245999951,2.8876071359451583,t,1,0.6192792999936501,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,47,2,190,1,,,,,657.3155245999951,658.3136225999915,658.3139904599914,660.2316955999995,660.3147406999924,2.9157506533185957,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,47,3,191,2,,,,,660.3147406999924,661.3141126999981,661.3160993599988,663.6819949999917,663.3152731000009,3.353594890147753,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,48,0,192,0,,,,,663.6819949999917,664.6810888999898,664.6814553599936,666.0473628999898,666.680652199997,2.3623791788381134,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,48,1,193,2,,,,,666.680652199997,667.6801577000006,667.6807540599941,668.7314460999914,669.6798178000026,2.041743791659372,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,48,2,194,3,,,,,669.6798178000026,670.6804620999901,670.6813003599921,673.5136796000006,672.6824947999994,3.8274814892204905,t,1,0.7289965999952983,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,48,3,195,1,,,,,673.5136796000006,674.5131036999956,674.5143454599995,675.8800829999964,676.5137060999987,2.3523877111092313,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,49,0,196,1,,,,,676.5137060999987,677.5132441000023,677.5146146599975,679.0135402000014,679.5139693999954,2.496365352566411,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,49,1,197,0,,,,,679.5139693999954,680.513023099993,680.5139034599954,682.2973328999942,682.512187699991,2.7819002247418068,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,49,2,198,2,,,,,682.512187699991,683.5121794000006,683.5128808599941,684.9469930999912,685.5137894999934,2.433333582108925,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,49,3,199,3,,,,,685.5137894999934,686.5126931999985,686.5137126599977,687.6473239999905,688.513266199996,2.124024790170343,t,1,0.7786186000012094,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,50,0,200,2,,,,,688.513266199996,689.5126667000004,689.5127355599936,692.4797082000005,691.5138554000005,3.958533195736219,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,50,1,201,3,,,,,692.4797082000005,693.4793271999952,693.4803767599908,696.1637582999974,695.4792924999929,3.670731828995839,t,1,0.9043046000006143,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,50,2,202,0,,,,,696.1637582999974,697.163353099997,697.1627567599892,698.7467246000015,699.1633231000014,2.5849111047177917,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,50,3,203,1,,,,,699.1633231000014,700.1626908000035,700.153880159992,702.2787316000031,702.1633790999913,3.1008354931115725,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,51,0,204,0,,,,,702.2787316000031,703.2621492999897,703.263120660001,704.5134927999898,705.2619073999958,2.231004323863792,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,51,1,205,1,,,,,705.2619073999958,706.2455648000032,706.2478808599947,709.1608724999969,708.2470774999965,3.8843709266861635,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,51,2,206,2,,,,,709.1608724999969,710.161844000002,710.1631320599947,712.3948374999891,712.161850199991,3.2294889410438286,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,51,3,207,3,,,,,712.3948374999891,713.3947921999934,713.3965516599958,716.2275112999923,715.3938982999971,3.820194055493644,t,1,0.794392700001481,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,52,0,208,1,,,,,716.2275112999923,717.2274528999988,717.2292609599929,718.4944774000032,719.2277384999907,2.254992019925343,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,52,1,209,3,,,,,719.2277384999907,720.2291990999947,720.227355759994,722.1445072999923,722.2443628999899,2.9175022853635393,t,1,0.8367528000089806,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,52,2,210,0,,,,,722.2443628999899,723.2454750999896,723.2466562599977,724.3945725999947,725.2610591999983,2.143851329173004,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,52,3,211,2,,,,,725.2610591999983,726.2843524999917,726.26391936,727.6960333000025,728.2940495999937,2.4251875513159127,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,53,0,212,2,,,,,728.2940495999937,729.294186500003,729.2953742599886,730.7975599999918,731.295208800002,2.4763310297389074,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,53,1,213,0,,,,,731.295208800002,732.2930962999963,732.2956834600002,734.7949663000036,734.2944160999905,3.49387550065597,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,53,2,214,3,,,,,734.7949663000036,735.7928380999947,735.7933742599955,738.7108765000012,737.7937954999943,3.908372241226162,t,1,0.8164027000020724,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,53,3,215,1,,,,,738.7108765000012,739.7120272000029,739.710089659998,741.3454016999895,741.7258002000017,2.618520091696785,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,54,0,216,3,,,,,741.7258002000017,742.7257409000013,742.7263641599959,745.060441499998,744.7262451999995,3.3246275669145064,t,1,0.9436994000134291,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,54,1,217,1,,,,,745.060441499998,746.060816600002,746.0610734600007,748.2429590999964,748.0601253999921,3.173002536452275,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,54,2,218,2,,,,,748.2429590999964,749.2263468000019,749.2295814599886,750.8772160999943,751.2264578000031,2.6273148715668677,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,54,3,219,0,,,,,751.2264578000031,752.2265503999952,752.2272240599953,753.5266655000014,754.226416999998,2.2869288616599133,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,55,0,220,0,,,,,754.226416999998,755.2262860999908,755.227166559994,757.0782394999987,757.2274085999961,2.838487934778006,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,55,1,221,1,,,,,757.2274085999961,758.2254688999965,758.2262859599971,760.7412767999922,760.2252081999904,3.4893842351586133,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,55,2,222,2,,,,,760.7412767999922,761.7263464999996,761.7274520599997,764.0761834000004,763.725832600001,3.3307510971902343,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,55,3,223,3,,,,,764.0761834000004,765.0607502999919,765.0614564599921,766.9248308999959,767.0767030999996,2.845973225533853,t,1,0.7903447999997297,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,56,0,224,1,,,,,767.0767030999996,768.059711599999,768.0610141600002,770.3249110999895,770.0749021999945,3.2476874300836394,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,56,1,225,2,,,,,770.3249110999895,771.3246261000022,771.3260778599899,773.9464057000005,773.3662095999898,3.559190980911201,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,56,2,226,0,,,,,773.9464057000005,774.9087814999948,774.9082954599974,777.3456663999968,776.908571699998,3.3831994665523863,None,1,,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,56,3,227,3,,,,,777.3456663999968,778.3442639999994,778.3426750600004,779.824338099992,780.3578798999952,2.4659426657706565,t,1,0.9018920000089565,,elpida_27_10_23_ao_hugin_dots,001,2023-10-27_14h53.40.777,Oddball_task,2022.2.5,59.99998800165726,
