trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,fixation.stopped,FixDur,response.keys,response.corr,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,21.315027399992687,21.315027399992687,space,2.0235850000026403,,,,,,,,,,,001,2023-11-02_10h22.57.737,Oddball_task,2022.2.5,59.76900475190411,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,0,0,0,2,,,,,23.395463299995754,24.362953299991204,24.36295434999338,26.36295429999882,29.09661409999535,5.697498833004218,None,1,,,001,2023-11-02_10h22.57.737,Oddball_task,2022.2.5,59.76900475190411,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,0,1,1,3,,,,,29.09661409999535,30.096743299989612,30.096318649995375,32.09652509998705,32.34685139999783,3.2439566457957945,None,0,31.09697279999091,,001,2023-11-02_10h22.57.737,Oddball_task,2022.2.5,59.76900475190411,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,0,2,2,1,,,,,32.34685139999783,33.346323899997515,33.346096249989934,35.34656799999357,34.846657599991886,2.4929996593636083,None,1,34.34660159998748,,001,2023-11-02_10h22.57.737,Oddball_task,2022.2.5,59.76900475190411,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,0,3,3,0,,,,,35.34656799999357,36.34650059998967,36.346087349994924,38.34701659998973,38.63012849999359,3.272257857794598,None,1,,,001,2023-11-02_10h22.57.737,Oddball_task,2022.2.5,59.76900475190411,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,1,0,4,0,,,,,38.63012849999359,39.630963599993265,39.629886449992775,41.646607199989376,40.94714589999057,2.311885348445014,None,1,,,001,2023-11-02_10h22.57.737,Oddball_task,2022.2.5,59.76900475190411,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,1,1,5,1,,,,,41.646607199989376,42.63387759999023,42.636360449987116,44.64672689999861,44.09698119999666,2.434460288990207,None,1,,,001,2023-11-02_10h22.57.737,Oddball_task,2022.2.5,59.76900475190411,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,1,2,6,2,,,,,44.64672689999861,45.64668309999979,45.646714549986065,47.64697389998764,49.430376599993906,4.774011377141253,None,1,,,001,2023-11-02_10h22.57.737,Oddball_task,2022.2.5,59.76900475190411,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,1,3,7,3,,,,,49.430376599993906,50.43041699999594,50.430018749999,52.430375099997036,53.21347629999218,3.781767588389788,None,0,,,001,2023-11-02_10h22.57.737,Oddball_task,2022.2.5,59.76900475190411,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,2,0,8,0,,,,,53.21347629999218,54.21324329999334,54.21296844999015,56.213301799987676,57.89710059999197,4.669296712151494,None,1,,,001,2023-11-02_10h22.57.737,Oddball_task,2022.2.5,59.76900475190411,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,2,1,9,1,,,,,57.89710059999197,58.89697499999602,58.89687374999048,60.89737039999454,63.615092399995774,5.70722099828272,None,1,,,001,2023-11-02_10h22.57.737,Oddball_task,2022.2.5,59.76900475190411,
