trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,fixation.stopped,FixDur,response.keys,response.corr,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,11,1,45,2,,,,,250.2116088999901,251.21136649994878,251.21106546996742,253.2108435999835,252.995446899964,2.769024080422637,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,11,2,46,0,,,,,253.2108435999835,254.2117322999984,254.21159116995403,256.2111278999946,256.41089189995546,3.1895179473560695,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,11,3,47,1,,,,,256.41089189995546,257.4123328999849,257.4112135700008,259.4127179000061,258.8275542999618,2.4031867736429966,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,12,0,48,0,,,,,259.4127179000061,260.41000219999114,260.4098110699735,262.4110247999779,264.96039019996533,5.532702305143546,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,12,1,49,1,,,,,264.96039019996533,265.96049079997465,265.96005666996933,267.96114249998936,269.8279249999905,4.860216905826363,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,12,2,50,2,,,,,269.8279249999905,270.82746949995635,270.82730006998753,272.82700689998455,272.6435608000029,2.808660705889127,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,12,3,51,3,,,,,272.82700689998455,273.8266334999935,273.8264817699848,275.84306729998207,277.96321519999765,5.0848474064717415,None,0,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,13,0,52,0,,,,,277.96321519999765,278.9266319999588,278.9259118699876,280.92753789998824,283.80887819995405,5.841245018137848,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,13,1,53,3,,,,,283.80887819995405,284.81010279996553,284.8098493699974,286.81017879996216,289.1941968000028,5.374788643835277,None,0,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,13,2,54,1,,,,,289.1941968000028,290.1935034999624,290.1928830699937,292.19130239996593,294.32549749995815,5.12504671067998,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,13,3,55,2,,,,,294.32549749995815,295.32579939998686,295.32562296996474,297.3255007999833,299.1602348999586,4.834272991421905,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,14,0,56,3,,,,,299.1602348999586,300.15905469999416,300.1582881699607,302.1761470999918,301.2586431999807,2.0984589909822327,None,0,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,14,1,57,2,,,,,302.1761470999918,303.1600612999755,303.16030407000216,305.1583752000006,305.0752328999806,2.8871744234081156,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,14,2,58,1,,,,,305.1583752000006,306.1589896999649,306.15889656999497,308.1736857999931,307.3748393999995,2.213063828689877,None,1,307.15851939999266,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,14,3,59,0,,,,,308.1736857999931,309.15782209997997,309.15802516999537,311.15834530000575,312.42517669999506,4.249579812157956,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,15,0,60,0,,,,,312.42517669999506,313.424761799979,313.42460436998516,315.4248249999946,315.4411252999562,3.0020195817847095,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,15,1,61,3,,,,,315.4411252999562,316.4418375999667,316.44146376995485,318.4606564999558,317.60793040000135,2.1538216840259174,None,0,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,15,2,62,1,,,,,318.4606564999558,319.4586070999503,319.45840906999655,321.45827429997735,323.6574280000059,5.192382636483809,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,15,3,63,2,,,,,323.6574280000059,324.6571590999956,324.65685166996553,326.6578648999566,329.05875450000167,5.386779629556405,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,16,0,64,0,,,,,329.05875450000167,330.05760659999214,330.05702416996354,332.05618119996507,332.0410111999954,2.97625284530091,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,16,1,65,1,,,,,332.05618119996507,333.0572322999942,333.0568319699552,335.0567890999955,336.7897998999688,4.721810642257707,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,16,2,66,2,,,,,336.7897998999688,337.7904914999963,337.79033476994954,339.7910884000012,339.1396309999982,2.334781806894333,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,16,3,67,3,,,,,339.7910884000012,340.79067339998437,340.7902768699743,342.790612199984,344.67312789999414,4.878454993312571,None,0,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,17,0,68,1,,,,,344.67312789999414,345.67265520000365,345.67305436999885,347.6731441000011,349.13912189996336,4.454039757264705,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,17,1,69,0,,,,,349.13912189996336,350.12397299997974,350.1249665699608,352.1395463999943,353.47271979996003,4.326019431898201,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,17,2,70,3,,,,,353.47271979996003,354.4739181000041,354.4735371699964,356.49018249998335,357.655583499989,4.169516190252331,None,0,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,17,3,71,2,,,,,357.655583499989,358.6556890999782,358.6556313699868,360.6560776999686,361.3205507999519,3.655886368187951,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,18,0,72,1,,,,,361.3205507999519,362.32344529998954,362.3218841699592,364.33856030000607,367.00622689997545,5.67164276636897,None,1,,michael,001,2023-10-31_13h13.41.688,Oddball_task,2022.2.5,59.93044472646077,
