trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,fixation.stopped,response.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,thank_you.started,thank_you.stopped,exit_exp.started,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,42,3,171,1,,,,,633.4657779999834,634.4661745000049,634.4671270799881,637.198960699985,636.4659722999786,3.7186822453585684,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,43,0,172,2,,,,,637.198960699985,638.1988800999825,638.1987390799914,640.9846838999947,640.2002391999995,3.7721585727902953,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,43,1,173,1,,,,,640.9846838999947,641.984096500004,641.9830037799838,644.6161477999995,643.9998169000028,3.621036243679397,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,43,2,174,0,,,,,644.6161477999995,645.6161667999986,645.616321879992,647.8998561000044,647.616454300005,3.2827201284517376,None,1,,646.6165949999995,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,43,3,175,3,,,,,647.8998561000044,648.8997914000065,648.8997947799799,650.9663259999943,650.9006896999781,3.052556872656202,t,1,0.703518800000893,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,44,0,176,2,,,,,650.9663259999943,651.966291699995,651.9670457799803,653.4328383999818,653.9660122999921,2.466825813827484,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,44,1,177,1,,,,,653.9660122999921,654.9666342999844,654.9662884800055,656.3006774999958,656.9659256000014,2.3187670400496003,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,44,2,178,0,,,,,656.9659256000014,657.9658168999886,657.9660883799952,659.9827843999956,659.9664993000042,3.0177370917987383,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,44,3,179,3,,,,,659.9827843999956,660.9831181000045,660.9833517799852,663.6830783000041,662.9825474999961,3.68702837816424,t,1,0.7804642999835778,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,45,0,180,1,,,,,663.6830783000041,664.6839129999862,664.6824791799881,666.3998715000052,666.6826644999965,2.71266458056773,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
