trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation_cross.started,response.started,sound_1.started,response.stopped,fixation_cross.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,19,2,78,3,,,,,341.39831140002934,342.3966753000277,342.39540659999477,344.4100019999896,345.75929199997336,4.356384096205878,t,1,0.7036609000060707,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,19,3,79,2,,,,,345.75929199997336,346.7595368999755,346.7586828000145,348.7744133999804,348.72249409998767,2.9648121718213813,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,20,0,80,0,,,,,348.7744133999804,349.7725465000258,349.7770428000018,351.7865107000107,353.0357135999948,4.262424188037325,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,20,1,81,1,,,,,353.0357135999948,354.0355394000071,354.03362760002494,356.0491062999936,356.1335280999774,3.0881785819319028,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,20,2,82,3,,,,,356.1335280999774,357.1328164000297,357.1324039999978,359.1458329000161,359.67888510000193,3.5466229349758187,t,1,0.5165432999492623,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,20,3,83,2,,,,,359.67888510000193,360.6798117000144,360.67992559997367,362.6936168000102,361.9441972000059,2.251145509187533,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,21,0,84,2,,,,,362.6936168000102,363.6925379000022,363.69297920000974,365.7092246999964,365.49087099998724,2.7914711057161963,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,21,1,85,0,,,,,365.7092246999964,366.7059030000237,366.7064178000088,368.7042132000206,367.83872100000735,2.120521216289826,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,21,2,86,1,,,,,368.7042132000206,369.70314559998224,369.7034815000021,371.70212769997306,373.11758939997526,4.401045258971472,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,21,3,87,3,,,,,373.11758939997526,374.1156761000166,374.1170887000277,376.1306068000267,375.3327020999859,2.2109299837371896,t,1,0.5968635000172071,375.116460499994,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,22,0,88,2,,,,,376.1306068000267,377.1289732999867,377.1307348999777,379.1282177999965,380.0264058000175,3.882410203754947,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
