trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,response.rt,sound_1.stopped,fixation.stopped,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,4,2,18,0,,,,,440.55405480000263,441.5370088000018,441.538167790003,444.04212460000053,None,1,,442.54047470000296,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,4,3,19,3,,,,,444.05637320000096,445.04403840000305,445.0430432900019,,t,1,0.6410637000008137,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,5,0,20,2,,,,,447.558633800003,448.54264570000305,448.54397739000234,451.0461749999995,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,5,1,21,1,,,,,451.06298120000065,452.0465108000026,452.0471135899996,454.54816460000075,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,5,2,22,3,,,,,454.56600750000143,455.54924400000164,455.5520905900001,,t,1,0.5410160999999789,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,5,3,23,0,,,,,458.0696304000012,459.05286049999995,459.05187829000243,461.5539114000021,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,6,0,24,1,,,,,461.5718341000029,462.5407019000013,462.5386982900007,465.039576500003,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,6,1,25,2,,,,,465.05701659999977,466.04271860000154,466.04202579000304,468.54337860000305,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,6,2,26,0,,,,,468.56107970000085,469.54420519999985,469.5448743900004,472.0456916000003,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,6,3,27,3,,,,,472.0642484000018,473.05282210000223,473.046917890001,,t,1,0.517276700000366,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,7,0,28,1,,,,,475.565321500002,476.55556100000103,476.5517623900003,,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,7,1,29,2,,,,,479.06866680000167,480.0542736999996,480.0526314900006,,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,7,2,30,3,,,,,482.5550379000015,483.5404458000012,483.53952909000037,486.0419529000028,t,1,0.493974299999536,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,7,3,31,0,,,,,486.05904010000086,487.0423972000026,487.04298549000197,489.54464240000016,None,1,,,,,,,,,elpida_23_10_23(2),shielded_ultracortex,2023-10-23_16h52.03.492,Oddball_task,2022.2.5,59.556813925447344,
