trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,response.rt,sound_1.stopped,fixation.stopped,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,4,2,18,3,,,,,176.46945699999924,177.45361489997595,177.45347962997621,,t,1,0.8931188999849837,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,4,3,19,1,,,,,180.4694058999885,181.45289529999718,181.45291212999146,184.45264929998666,None,1,,182.45364459999837,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,5,0,20,1,,,,,184.46987919998355,185.45309399999678,185.45331232998288,188.45322239998495,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,5,1,21,0,,,,,188.46979199998896,189.4526100999792,189.45290802998935,,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,5,2,22,3,,,,,192.47357259999262,193.45305369998096,193.4528442299983,196.4528236000042,t,1,1.215185000008205,194.45341129999724,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,5,3,23,2,,,,,196.46959150000475,197.45380449999357,197.45303973000264,200.45302970000193,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,6,0,24,2,,,,,200.46975219997694,201.45285829997738,201.45373692998547,204.45256750000408,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,6,1,25,0,,,,,204.46934290000354,205.45381360000465,205.45363203000161,,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,6,2,26,3,,,,,208.45540219999384,209.45374999998603,209.45423132999568,,t,1,1.1172274999844376,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,6,3,27,1,,,,,212.47021400000085,213.45283850000123,213.45302082997515,216.45235330000287,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,7,0,28,1,,,,,216.469706999982,217.45277979999082,217.45251782998676,220.45284959999844,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,7,1,29,0,,,,,220.47010239999508,221.4539435999759,221.45333562998567,224.45314239998697,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,7,2,30,3,,,,,224.4698637999827,225.45344149999437,225.4536807299941,228.4536620999861,t,1,0.8379612000135239,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,7,3,31,2,,,,,228.4704345999926,229.4529355999839,229.453133229987,232.45277939998778,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,8,0,32,1,,,,,232.47029939998174,233.45300009998027,233.4534297300037,236.4539502999978,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,8,1,33,0,,,,,236.4698570999899,237.43734229999245,237.43757493000012,240.43711489997804,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,8,2,34,3,,,,,240.4703193999885,241.45302939999965,241.4532866299909,244.4531200999918,t,1,1.1270220000005793,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,8,3,35,2,,,,,244.4705359999789,245.45358509998186,245.45384882999352,248.45275689999107,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,9,0,36,0,,,,,248.46983309998177,249.453011399979,249.45318532997626,,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,9,1,37,3,,,,,252.48959439998725,253.45359489999828,253.45292712998926,256.45424150000326,t,1,0.9020279000105802,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,9,2,38,2,,,,,256.4709167999972,257.4531784999999,257.4535479300015,260.45389529998647,None,1,,258.4529536999762,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,9,3,39,1,,,,,260.4694808999775,261.45300379997934,261.4532390299777,264.45430389998364,None,1,,262.4542369999981,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,10,0,40,0,,,,,264.47106419998454,265.4389024999982,265.43777452997745,268.4389375000028,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,10,1,41,1,,,,,268.45554110000376,269.4543333000038,269.4534972299938,272.453586299991,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,10,2,42,3,,,,,272.47006779999356,273.4368653999991,273.4376766299887,276.4376194999786,t,1,0.8077116000058595,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,10,3,43,2,,,,,276.4707261000003,277.45315879999544,277.45415012998853,280.4538285000017,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,11,0,44,0,,,,,280.47036479998496,281.45349230000284,281.45366702997705,284.45335169998,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,11,1,45,1,,,,,284.4702194999845,285.4372155999881,285.43780582998295,288.43684759997996,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,11,2,46,3,,,,,288.4702603999758,289.4369159999769,289.4377788299811,292.4396346999856,t,1,1.12713830001303,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,11,3,47,2,,,,,292.456306099979,293.45389299999806,293.45408313000223,296.4552222999919,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,12,0,48,3,,,,,296.4700862999889,297.43699919999926,297.4381338299776,300.4585053999908,t,1,1.0395700999943074,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,12,1,49,2,,,,,300.4929323999968,301.45365369998035,301.453717629984,304.4546532999957,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,12,2,50,1,,,,,304.4710707999766,305.45401769998716,305.4542500299925,308.45346999997855,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,12,3,51,0,,,,,308.4704257999838,309.4384306999855,309.4381110299786,,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,13,0,52,0,,,,,312.47439289998147,313.43687949999,313.4376417299849,316.43888380000135,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,13,1,53,3,,,,,316.45479229997727,317.4538250999758,317.45402902999774,320.45327599998564,t,1,0.8788357000157703,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,13,2,54,2,,,,,320.4700709999888,321.4439722999814,321.4407138299779,324.4552138999861,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,13,3,55,1,,,,,324.4728729999915,325.45353369999793,325.45344372999386,328.45396990000154,None,1,,,,,,,,,levi_25_10_23_hugin07,001,2023-10-25_13h40.59.164,Oddball_task,2022.2.5,60.19838980685015,
