trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,sound_1.stopped,response.keys,response.corr,feedback_text.started,response.stopped,feedback_text.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,1,2,7,1,,,,,125.48054080000111,126.46419969999988,126.46409126000034,,None,1,,128.96610300000066,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,1,3,8,4,,,,,128.9825467999999,129.96732310000152,129.96676956000155,,None,0,,132.4691115000005,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,1,4,9,2,,,,,132.4860815000011,133.46969960000024,133.46987696000141,,None,1,,135.9718810000013,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,2,0,10,0,,,,,135.9886146000008,136.972823600001,136.972483860001,,None,1,,139.47572370000125,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,2,1,11,3,,,,,139.49104870000156,140.45927800000027,140.4594868600012,,None,1,,142.96075010000095,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,2,2,12,4,,,,,142.97724090000156,143.96242740000162,143.96209026000142,,None,0,,146.46457900000132,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,2,3,13,1,,,,,146.48198820000107,147.46568190000107,147.46467476000143,,None,1,,149.9672137000016,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,2,4,14,2,,,,,149.98427080000147,150.96770490000017,150.96764456000128,,None,1,,153.46980480000093,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,3,0,15,1,,,,,153.4864873000006,154.47128930000144,154.4710135600013,,None,1,,156.97293630000058,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,3,1,16,3,,,,,156.98922529999982,157.97430370000075,157.97311485999998,,None,1,,160.47746929999994,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,3,2,17,4,,,,,160.49249490000147,161.4616941000004,161.4615313600003,,None,0,,163.96207140000115,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
