trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,fixation.stopped,response.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,70.83755900000688,70.83755900000688,space,2.3055667000007816,,,,,,,,,,,,001,2023-10-31_11h21.29.605,Oddball_task,2022.2.5,60.13764304233678,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,0,0,2,,,,,73.1862650999683,74.15276879997691,74.15618011998012,75.80355059995782,76.1531426999718,2.6113803643141167,None,1,,,,001,2023-10-31_11h21.29.605,Oddball_task,2022.2.5,60.13764304233678,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,1,1,1,,,,,76.1531426999718,77.15381920000073,77.15230621999362,79.63855769997463,79.15337459999137,3.4677084397986553,None,1,,,,001,2023-10-31_11h21.29.605,Oddball_task,2022.2.5,60.13764304233678,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,0,2,2,3,,,,,79.63855769997463,80.63649089995306,80.63611732000717,82.1529832999804,82.63698379998095,2.506338133845795,t,1,1.162276400020346,,,001,2023-10-31_11h21.29.605,Oddball_task,2022.2.5,60.13764304233678,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,3,3,0,,,,,82.63698379998095,83.63654929999029,83.63662872000131,85.81989319995046,85.63684589997865,3.168689152023538,None,1,,,,001,2023-10-31_11h21.29.605,Oddball_task,2022.2.5,60.13764304233678,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,0,4,2,,,,,85.81989319995046,86.8194115999504,86.81884331997716,89.78801479999674,88.81973180000205,3.9592166460848954,None,1,,,,001,2023-10-31_11h21.29.605,Oddball_task,2022.2.5,60.13764304233678,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,1,1,5,3,,,,,89.78801479999674,90.785988299991,90.78559751997236,93.0022332999506,92.78597799997078,3.211457775557516,t,1,0.6766953999758698,,,001,2023-10-31_11h21.29.605,Oddball_task,2022.2.5,60.13764304233678,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,2,6,0,,,,,93.0022332999506,94.00236719998065,94.00335301996674,95.61888399999589,96.00247700000182,2.6060060925326183,None,1,,,,001,2023-10-31_11h21.29.605,Oddball_task,2022.2.5,60.13764304233678,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,3,7,1,,,,,96.00247700000182,97.00216649996582,97.00278951998334,99.2362610999844,99.00212689995533,3.23093757399095,None,1,,,,001,2023-10-31_11h21.29.605,Oddball_task,2022.2.5,60.13764304233678,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,2,0,8,3,,,,,99.2362610999844,100.22095569997327,100.22112001999048,103.15318159997696,102.23588089999976,3.907124834421914,t,1,0.7143110999604687,,,001,2023-10-31_11h21.29.605,Oddball_task,2022.2.5,60.13764304233678,
