trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial,file,corrAns,tone,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.765280300023733,16.765280300023733,space,5.870297999994364,,,,,001,2023-10-25_15h28.03.563,Oddball_task,2022.2.5,60.115734808618846,
,,,,,,,,,,,,22.675855600013165,23.66008710002643,23.660352800026885,,,,,,,
