trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,fixation.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,thank_you.started,thank_you.stopped,exit_exp.started,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,4,0,16,2,,,,,89.40359640000679,90.40241850000166,90.4020488900118,92.401949600011,92.50154110000585,3.099734739463293,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,4,1,17,0,,,,,92.50154110000585,93.50174520000292,93.5023809899998,95.5016195000062,95.46716070000548,2.958357545108882,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,4,2,18,1,,,,,95.5016195000062,96.5008300000045,96.50216549000325,98.50130899999931,97.85127280000597,2.3357871773369494,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,4,3,19,3,,,,,98.50130899999931,99.50074689999747,99.50197209000035,101.50205940000887,100.8344872000016,2.332902822258952,t,1,0.8400006000010762,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,5,0,20,0,,,,,101.50205940000887,102.50124880000658,102.50264648999874,104.49993540000287,104.13368470000569,2.6188299558330823,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,5,1,21,3,,,,,104.49993540000287,105.5007120000082,105.50096829001123,107.50129759999982,108.01747810000961,3.5033205246627324,t,1,0.9564600999874528,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,5,2,22,1,,,,,108.01747810000961,109.01903399999719,109.01749239000347,111.03433550000773,110.73538320000807,2.7164831100444062,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,5,3,23,2,,,,,111.03433550000773,112.03334480000194,112.03411519000511,114.03387060000387,113.7843026000046,2.735705289714769,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,6,0,24,0,,,,,114.03387060000387,115.03442540000833,115.03619339001162,117.03435529999842,116.73300839999865,2.6884043805822015,None,1,,,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,6,1,25,2,,,,,117.03435529999842,118.03353450000577,118.0348785900118,120.0335294000106,120.75025310000638,3.7031020849716505,None,1,,119.03455720000784,,,,levi,001,2023-10-27_12h24.55.145,Oddball_task,2022.2.5,59.94391647561336,
