trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,fixation.stopped,response.stopped,FixDur,response.keys,response.corr,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,31.814200199994957,31.814200199994957,space,16.054998599996907,,,,,,,,,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,0,0,0,3,,,,,47.91437859999132,48.89729959999386,48.89749640999944,50.86516499999561,50.89766689999669,2.9419629140741965,None,0,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,0,1,1,0,,,,,50.89766689999669,51.89759039999626,51.897519710002236,54.0648036999919,53.897458699997514,3.1600014097846043,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,0,2,2,2,,,,,54.0648036999919,55.06492330000037,55.06404351000092,56.56412499998987,57.064179199995124,2.4886718575439604,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,0,3,3,1,,,,,57.064179199995124,58.064572099989164,58.06455630999117,60.19774379998853,60.064331299989135,3.1191656561898147,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,1,0,4,2,,,,,60.19774379998853,61.19861539998965,61.19908051000093,62.465337199988426,63.197936099997605,2.2568584775860963,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,1,1,5,1,,,,,63.197936099997605,64.19788130000234,64.19794531000079,66.44759939999494,66.19783659999666,3.2352094756704943,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,1,2,6,0,,,,,66.44759939999494,67.44744209999044,67.44755430999211,70.96404890000122,69.44767860000138,4.503581705822546,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,1,3,7,3,,,,,70.96404890000122,71.96454020000238,71.96469440998916,73.79736959999718,73.96447359999001,2.832628734380728,None,0,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,2,0,8,3,,,,,73.96447359999001,74.96452229999704,74.96465550999855,77.99787559999095,76.96448850000161,4.0229517169249975,None,0,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,2,1,9,0,,,,,77.99787559999095,78.99814630000037,78.99768090999859,83.3144040999905,80.99820679999539,5.3027159881804256,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,2,2,10,2,,,,,83.3144040999905,84.31533559999662,84.31453190999454,89.3153653999907,86.31636149999395,5.9991785835253495,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,2,3,11,1,,,,,89.3153653999907,90.31493310000224,90.31468591000302,92.8313705999899,92.31498559999454,3.5140037889420492,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,3,0,12,0,,,,,92.8313705999899,93.83211629999278,93.83152431000198,98.23210329998983,95.83168199998909,5.401436522865369,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,3,1,13,2,,,,,98.23210329998983,99.23242099999334,99.23127980999706,100.94874300000083,101.23269829999481,2.7070859447500144,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,3,2,14,1,,,,,101.23269829999481,102.23365219999687,102.23215090999437,105.96444419999898,104.24824190000072,4.7221467570875575,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,3,3,15,3,,,,,105.96444419999898,106.96457419999933,106.96477960999763,109.49833479999506,108.96446799999103,3.5294815877850714,None,0,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,4,0,16,3,,,,,109.49833479999506,110.49859479999577,110.49809981000143,112.83156599999347,112.49838119999913,3.3210897803466826,None,0,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,4,1,17,2,,,,,112.83156599999347,113.83241469999484,113.83187640999094,118.51468369999202,115.84915379999438,5.668656441433573,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,4,2,18,0,,,,,118.51468369999202,119.51516189999529,119.5148616099992,122.94966449998901,121.51504939999722,4.431196972322413,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,4,3,19,1,,,,,122.94966449998901,123.9490525000001,123.94856790999765,126.9814417000016,125.94860740000149,4.032783877417856,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,5,0,20,3,,,,,126.9814417000016,127.98254610000004,127.98181371000246,131.16511129999708,129.98209449999558,4.180307040365238,None,0,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,5,1,21,2,,,,,131.16511129999708,132.1652968999988,132.16501510999805,134.2654188000015,134.16617789999873,3.08496037945743,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,5,2,22,1,,,,,134.2654188000015,135.26568729999417,135.26559761000098,136.98177549999673,137.26542129999143,2.711998724631284,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,5,3,23,0,,,,,137.26542129999143,138.26545229999465,138.26510050999931,140.6818396000017,140.2650796999951,3.4115238811093693,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,6,0,24,2,,,,,140.6818396000017,141.6816031999915,141.68171400999708,143.38189239999338,143.6822600000014,2.691823301821833,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,6,1,25,3,,,,,143.6822600000014,144.68159670000023,144.6816190100013,148.7156677000021,146.68289909999294,5.032212635228343,None,0,145.68309599999338,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,6,2,26,0,,,,,148.7156677000021,149.7152703999891,149.7150475100003,154.44906849999097,151.715102999995,5.716960671848863,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,6,3,27,1,,,,,154.44906849999097,155.44869079999626,155.44923551000247,159.116958899991,157.4488130999962,4.662032475665725,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,7,0,28,1,,,,,159.116958899991,160.11653569999908,160.1154962099914,164.0332580999966,162.11538079999445,4.915063990241387,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,7,1,29,3,,,,,164.0332580999966,165.0326378999889,165.03189090999658,166.36578579999332,167.0321915999957,2.3304565443278618,None,0,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,7,2,30,0,,,,,167.0321915999957,168.0327505000023,168.0326260099915,172.24906389998796,170.03243019999354,5.209587655770342,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,7,3,31,2,,,,,172.24906389998796,173.24906380000175,173.2489674100012,174.4324406999949,175.2490942000004,2.17087225637632,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,8,0,32,3,,,,,175.2490942000004,176.2485827999917,176.2488525099994,180.64878339999996,178.24915129999863,5.384087744664672,None,0,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,8,1,33,2,,,,,180.64878339999996,181.64891479999642,181.64885200998978,184.13275559998874,183.6489406999899,3.482398265518761,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,8,2,34,0,,,,,184.13275559998874,185.13317570000072,185.1331744099967,186.81856489999336,187.1329204999929,2.684600380636982,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,8,3,35,1,,,,,187.1329204999929,188.13333859998966,188.13327441000146,191.0660394000006,190.13263179999194,3.9318639918782754,None,1,189.13312230000156,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,9,0,36,1,,,,,191.0660394000006,192.06596359999094,192.0666902099998,194.9990875999938,194.06564659999276,3.9267360822707578,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,9,1,37,3,,,,,194.9990875999938,195.9989205999882,195.99923450999776,199.99927669999306,197.99893049999082,4.9896234828849995,None,0,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,9,2,38,0,,,,,199.99927669999306,200.99918400000024,200.99894590999756,205.26567149999028,202.99913379999634,5.266026993726607,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,9,3,39,2,,,,,205.26567149999028,206.26684689999092,206.26585720999864,210.2493104000023,208.26626920000126,4.979009406902549,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,10,0,40,1,,,,,210.2493104000023,211.23295209999196,211.23344391000282,214.86602829999174,213.23312720000104,4.612528034485368,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,10,1,41,3,,,,,214.86602829999174,215.86615149999852,215.86641420999658,217.68310480000218,217.86669509999047,2.8042372413953167,None,0,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,10,2,42,0,,,,,217.86669509999047,218.8672130999912,218.86925360999302,222.95087960000092,220.86639379999542,5.077895367080622,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,10,3,43,2,,,,,222.95087960000092,223.94916869999724,223.9499320099945,224.99969089998922,225.94941390000167,2.043066319111972,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,11,0,44,2,,,,,225.94941390000167,226.94979329999478,226.94975380999094,231.93280629999936,228.94950699999754,5.974542535471757,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,11,1,45,3,,,,,231.93280629999936,232.93297539999185,232.93259080999414,236.88336069999787,234.93317609999212,4.9360255895889855,None,0,233.9329308000015,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,11,2,46,1,,,,,236.88336069999787,237.88344749998942,237.8830690099945,241.43328620000102,239.88342399999965,4.538564868496251,None,1,238.88331369998923,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,11,3,47,0,,,,,241.43328620000102,242.433867499989,242.43338900998933,243.91648039998836,244.43286689999513,2.4711622563889475,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,12,0,48,2,,,,,244.43286689999513,245.4329499000014,245.4329011099995,249.61725029999798,247.43382039999415,5.1843568877849595,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,12,1,49,3,,,,,249.61725029999798,250.61693189998914,250.61712050999049,252.75159529999655,252.61606159999792,3.1284981698249683,None,0,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,12,2,50,0,,,,,252.75159529999655,253.750152099994,253.74956640999298,255.7835664000013,255.7500973999995,3.031065738127789,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,12,3,51,1,,,,,255.7835664000013,256.78277379999054,256.7832004099997,261.51646769999934,258.7831331999914,5.7212802997495205,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,13,0,52,1,,,,,261.51646769999934,262.51664979998895,262.5161503099895,264.1831443999981,264.5165563999908,2.6575449625297587,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,13,1,53,0,,,,,264.5165563999908,265.5172440000024,265.51659070999597,269.04950909999025,267.5158517999953,4.53276602824009,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,13,2,54,2,,,,,269.04950909999025,270.04991000000155,270.05005870999014,274.99992969998857,272.05026829999406,5.934795036568087,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,13,3,55,3,,,,,274.99992969998857,276.0004302000016,275.9999941099901,280.43324269998993,278.0004862999922,5.4197780953342924,None,0,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,14,0,56,2,,,,,280.43324269998993,281.4178907000023,281.41824020999195,284.41661410000233,283.4345093000011,3.9818685761201347,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,14,1,57,1,,,,,284.41661410000233,285.41680029999407,285.416611510003,289.7498995999922,287.41700950000086,5.327703748793548,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,14,2,58,3,,,,,289.7498995999922,290.7504450999986,290.7505277099932,295.0345212999964,292.7507379000017,5.270449374722261,None,0,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,14,3,59,0,,,,,295.0345212999964,296.0341972999886,296.03337110998984,298.11705699999584,298.03356549999444,3.0780462159208524,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,15,0,60,3,,,,,298.11705699999584,299.1176078999997,299.1168756100029,302.35020989998884,301.1179889999912,4.229071614156759,None,0,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,15,1,61,1,,,,,302.35020989998884,303.35074090000126,303.35024070999646,305.16661909999675,305.3499678999942,2.805023545975954,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,15,2,62,0,,,,,305.3499678999942,306.35033229998953,306.35020820999637,307.850093999994,308.3508765000006,2.494079212792392,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,15,3,63,2,,,,,308.3508765000006,309.3502346000023,309.3503419099958,314.0003471999953,311.35015739999653,5.645256558399863,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,16,0,64,0,,,,,314.0003471999953,314.9850179999921,314.9846667100006,316.45061780000106,317.00052739999956,2.4473391220259804,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,16,1,65,2,,,,,317.00052739999956,318.00025019999885,318.00011490999316,321.40129939999315,320.0001654999942,4.397750531783556,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,16,2,66,1,,,,,321.40129939999315,322.4006740999903,322.40093671000216,324.28350029999274,324.4006912999903,2.8726080885275875,None,1,323.40060249999806,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,16,3,67,3,,,,,324.4006912999903,325.4011521999928,325.4004041099921,327.66675759998907,327.4011285000015,3.2564618622586425,None,0,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,17,0,68,3,,,,,327.66675759998907,328.66707229999884,328.6671502100013,331.20019859999593,330.66701069999544,3.5211109659934126,None,0,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,17,1,69,0,,,,,331.20019859999593,332.20063229999505,332.20062580999513,336.66716579999775,334.20078049998847,5.466867134399177,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,17,2,70,2,,,,,336.66716579999775,337.6674267999915,337.66720060999216,341.4670967999991,339.6685623999947,4.793023878317111,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,17,3,71,1,,,,,341.4670967999991,342.4516947999946,342.4515438100003,347.0340381999995,344.4505206999893,5.554177337543388,None,1,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,18,0,72,3,,,,,347.0340381999995,348.03449510000064,348.034317509993,351.734942199997,350.0350580999948,4.693757640370492,None,0,,,001,2023-11-02_10h29.47.006,Oddball_task,2022.2.5,60.27509553794457,
