trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,feedback_text.started,response.stopped,response.rt,sound_1.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,2,1,9,1,,,,,130.4375863999885,131.4216974999872,131.42169488999644,None,1,,133.92383569999947,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,2,2,10,3,,,,,133.94065209999098,134.92543879998266,134.92545448998573,t,1,,137.42720509998617,0.6895940999966115,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,2,3,11,3,,,,,137.4435634999827,138.42819139998755,138.42799208998332,t,1,,140.92839529999765,1.646327199996449,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,3,0,12,3,,,,,140.9449781999865,141.92947399997502,141.92931108998602,t,1,,,1.1776322000077926,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,3,1,13,1,,,,,144.4314144999953,145.41550249999273,145.41592578998535,None,1,,147.91865609999513,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,3,2,14,2,,,,,147.9344350999745,148.91924239997752,148.9189651899913,None,1,,151.42078359998413,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,3,3,15,0,,,,,151.4372559999756,152.42182049999246,152.4220214899804,None,1,,154.9245742999774,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,4,0,16,0,,,,,154.9430144999933,155.9246981999895,155.9261155899847,None,1,,158.42664779999177,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,4,1,17,1,,,,,158.4431722999725,159.42750369998976,159.42754588999088,None,1,,161.92936609999742,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,4,2,18,3,,,,,161.94612699997379,162.91443449998042,162.91334648999037,t,1,,165.41559539997252,0.9148394000076223,163.914670499973,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,4,3,19,0,,,,,165.43208939998294,166.41669719998026,166.4167706899869,None,1,,168.9190659999731,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,5,0,20,2,,,,,168.93525099998806,169.91945609997492,169.91953948999873,None,1,,172.42168499997933,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,5,1,21,3,,,,,172.43883049997385,173.422740399983,173.42276078999276,t,1,,175.92442519997712,0.8095941999927163,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,5,2,22,0,,,,,175.9414558999997,176.92504939998616,176.92614469000256,None,1,,179.42755879997276,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,5,3,23,2,,,,,179.44411829998717,180.42831379998825,180.42821108999198,None,1,,,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,6,0,24,3,,,,,182.93039709998993,183.91454999998678,183.9146309899923,t,1,,186.4166383999982,0.8598514000186697,184.91547499998705,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,6,1,25,1,,,,,186.4334376999759,187.41799789998913,187.41730798997452,None,1,,189.92067699998734,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,6,2,26,0,,,,,189.9373964999977,190.92153309998685,190.9216491899977,None,1,,193.42552109999815,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,6,3,27,2,,,,,193.44229009997798,194.42647819998092,194.42646008998855,None,1,,196.92890419997275,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,7,0,28,1,,,,,196.9453859999776,197.91265179999755,197.91282928998118,None,1,,200.41449229998398,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,7,1,29,2,,,,,200.43129259999841,201.41565429998445,201.41541228997522,None,1,,203.91561799999909,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,7,2,30,2,,,,,203.93232439999701,204.91635909999604,204.9163750900014,None,1,,207.41801799999666,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
